"","question","sql"
"11","how high is the share of electric vehicles within the newly registered cars in Glattfelden?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations electric motor cars [%]' and s.name like 'Glattfelden'"
"12","how high is the number of charging stations per 1000 inhabitants in Rifferswil?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]' and s.name like 'Rifferswil'"
"13","how high is the number of charging stations in Hirzel (bis 2017)?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars [no.]' and s.name like 'Hirzel (bis 2017)'"
"14","which municipality has the highest share of people living in proximity of a busstop?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by bus [% of inhabitants]'"
"15","which municipality has the highest share of people living in proximity of a trainstation?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by suburban train [% of inhabitants]'"
"16","which municipality has the highest number of cars per capita?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"17","which municipality has the highest share of people living in proximity of a trainstation or busstop?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"18","which municipality has the highest share of public transport in traffic movements of people living?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'public transport share (modal split) [%]'"
"19","which municipality has the highest share of motorised private transport in traffic movements of people living?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'MIV share (modal split) [%]'"
"20","which municipality has the highest number of newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"21","which municipality has the highest share of hybrid vehicles?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Hybrid motor cars stock [%]'"
"22","which municipality has the highest share of electric vehicles?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Electric motor cars stock [%]'"
"23","which municipality has the highest share of hybrid vehicles within the newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations of hybrid motor cars [%]'"
"24","which municipality has the highest share of electric vehicles within the newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations electric motor cars [%]'"
"25","which municipality has the highest number of charging stations per 1000 inhabitants?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"26","which municipality has the highest number of charging stations?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars [no.]'"
"27","Which municipality has the minimum share of people living in proximity of a busstop?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by bus [% of inhabitants]'"
"28","Which municipality has the minimum share of people living in proximity of a trainstation?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by suburban train [% of inhabitants]'"
"29","Which municipality has the minimum number of cars per capita?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"30","Which municipality has the minimum share of people living in proximity of a trainstation or busstop?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"31","Which municipality has the minimum share of public transport in traffic movements of people living?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'public transport share (modal split) [%]'"
"32","Which municipality has the minimum share of motorised private transport in traffic movements of people living?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'MIV share (modal split) [%]'"
"33","Which municipality has the minimum number of newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"34","Which municipality has the minimum share of hybrid vehicles?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Hybrid motor cars stock [%]'"
"35","Which municipality has the minimum share of electric vehicles?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Electric motor cars stock [%]'"
"36","Which municipality has the minimum share of hybrid vehicles within the newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations of hybrid motor cars [%]'"
"37","Which municipality has the minimum share of electric vehicles within the newly registered cars?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations electric motor cars [%]'"
"38","Which municipality has the minimum number of charging stations per 1000 inhabitants?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"39","Which municipality has the minimum number of charging stations?","select s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Charging stations of electronic cars [no.]'"
"40","what are the highest, lowest and average share of people living in proximity of a busstop?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Access by bus [% of inhabitants]'"
"41","what are the highest, lowest and average share of people living in proximity of a trainstation?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Access by suburban train [% of inhabitants]'"
"42","what are the highest, lowest and average number of cars per capita?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"43","what are the highest, lowest and average share of people living in proximity of a trainstation or busstop?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"44","what are the highest, lowest and average share of public transport in traffic movements of people living?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'public transport share (modal split) [%]'"
"45","what are the highest, lowest and average share of motorised private transport in traffic movements of people living?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'MIV share (modal split) [%]'"
"46","what are the highest, lowest and average number of newly registered cars?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"47","what are the highest, lowest and average share of hybrid vehicles?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Hybrid motor cars stock [%]'"
"48","what are the highest, lowest and average share of electric vehicles?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Electric motor cars stock [%]'"
"49","what are the highest, lowest and average share of hybrid vehicles within the newly registered cars?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'New registrations of hybrid motor cars [%]'"
"50","what are the highest, lowest and average share of electric vehicles within the newly registered cars?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'New registrations electric motor cars [%]'"
"51","what are the highest, lowest and average number of charging stations per 1000 inhabitants?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"52","what are the highest, lowest and average number of charging stations?","select max(iv.value), min(iv.value), avg(iv.value) from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
where i.name like 'Charging stations of electronic cars [no.]'"
"53","How many municipalities currently have a share of people living in proximity of a busstop higher than 75.6?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 75.6 and s.type_id = 1 and i.name like 'Access by bus [% of inhabitants]'"
"54","How many municipalities currently have a share of people living in proximity of a trainstation higher than 1.5?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 1.5 and s.type_id = 1 and i.name like 'Access by suburban train [% of inhabitants]'"
"55","How many municipalities currently have a number of cars per capita higher than 645.4?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 645.4 and s.type_id = 1 and i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"56","How many municipalities currently have a share of people living in proximity of a trainstation or busstop higher than 51.6?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 51.6 and s.type_id = 1 and i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"57","How many municipalities currently have a share of public transport in traffic movements of people living higher than 3?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 3 and s.type_id = 1 and i.name like 'public transport share (modal split) [%]'"
"58","How many municipalities currently have a share of motorised private transport in traffic movements of people living higher than 93?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 93 and s.type_id = 1 and i.name like 'MIV share (modal split) [%]'"
"59","How many municipalities currently have a number of newly registered cars higher than 25.3?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 25.3 and s.type_id = 1 and i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"60","How many municipalities currently have a share of hybrid vehicles higher than 2.8?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 2.8 and s.type_id = 1 and i.name like 'Hybrid motor cars stock [%]'"
"61","How many municipalities currently have a share of electric vehicles higher than 0.7?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 0.7 and s.type_id = 1 and i.name like 'Electric motor cars stock [%]'"
"62","How many municipalities currently have a share of hybrid vehicles within the newly registered cars higher than 0?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 0 and s.type_id = 1 and i.name like 'New registrations of hybrid motor cars [%]'"
"63","How many municipalities currently have a share of electric vehicles within the newly registered cars higher than 0?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 0 and s.type_id = 1 and i.name like 'New registrations electric motor cars [%]'"
"64","How many municipalities currently have a number of charging stations per 1000 inhabitants higher than 0?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 0 and s.type_id = 1 and i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"65","How many municipalities currently have a number of charging stations higher than 2?","select count(*) from
indicator_values2 iv
inner join (select indicator_id, value, MAX(year) 
            from indicator_values2) iv2 on iv2.indicator_id = iv.indicator_id
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where iv.VALUE > 2 and s.type_id = 1 and i.name like 'Charging stations of electronic cars [no.]'"
"66","How high is the total share of people living in proximity of a busstop in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Access by bus [% of inhabitants]'"
"67","How high is the total share of people living in proximity of a trainstation in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Access by suburban train [% of inhabitants]'"
"68","How high is the total number of cars per capita in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"69","How high is the total share of people living in proximity of a trainstation or busstop in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"70","How high is the total share of public transport in traffic movements of people living in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'public transport share (modal split) [%]'"
"71","How high is the total share of motorised private transport in traffic movements of people living in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'MIV share (modal split) [%]'"
"72","How high is the total number of newly registered cars in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"73","How high is the total share of hybrid vehicles in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Hybrid motor cars stock [%]'"
"74","How high is the total share of electric vehicles in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Electric motor cars stock [%]'"
"75","How high is the total share of hybrid vehicles within the newly registered cars in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'New registrations of hybrid motor cars [%]'"
"76","How high is the total share of electric vehicles within the newly registered cars in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'New registrations electric motor cars [%]'"
"77","How high is the total number of charging stations per 1000 inhabitants in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"78","How high is the total number of charging stations in the Canton Zurich?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=8 and i.name like 'Charging stations of electronic cars [no.]'"
"79","Which Region had the lowest share of people living in proximity of a busstop in the year 2003?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2003 and i.name like 'Access by bus [% of inhabitants]'"
"80","Which Region had the lowest share of people living in proximity of a trainstation in the year 2006?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2006 and i.name like 'Access by suburban train [% of inhabitants]'"
"81","Which Region had the lowest number of cars per capita in the year 2019?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2019 and i.name like 'Passenger cars per 1000 inhabitants [no.]'"
"82","Which Region had the lowest share of people living in proximity of a trainstation or busstop in the year 2009?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2009 and i.name like 'Accessibility by suburban train+bus [% of inhabitants]'"
"83","Which Region had the lowest share of public transport in traffic movements of people living in the year 2013?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2013 and i.name like 'public transport share (modal split) [%]'"
"84","Which Region had the lowest share of motorised private transport in traffic movements of people living in the year 2018?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2018 and i.name like 'MIV share (modal split) [%]'"
"85","Which Region had the lowest number of newly registered cars in the year 2011?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2011 and i.name like 'PW new registrations per 1000 inhabitants [amount]'"
"86","Which Region had the lowest share of hybrid vehicles in the year 2002?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2002 and i.name like 'Hybrid motor cars stock [%]'"
"87","Which Region had the lowest share of electric vehicles in the year 2006?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2006 and i.name like 'Electric motor cars stock [%]'"
"88","Which Region had the lowest share of hybrid vehicles within the newly registered cars in the year 2013?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2013 and i.name like 'New registrations of hybrid motor cars [%]'"
"89","Which Region had the lowest share of electric vehicles within the newly registered cars in the year 2006?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2006 and i.name like 'New registrations electric motor cars [%]'"
"90","Which Region had the lowest number of charging stations per 1000 inhabitants in the year 2021?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2021 and i.name like 'Charging stations of electronic cars per 1000 inhabitants [no.]'"
"91","Which Region had the lowest number of charging stations in the year 2021?","select min(iv.value), s.name from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where s.type_id=4 and iv.year=2021 and i.name like 'Charging stations of electronic cars [no.]'"
