questions,queries,answers
how many municipalities have a number of cars per capita higher than 548.8 per year?,"SELECT T1.year, COUNT(*)         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.passenger_cars_per_1000_inhabitants::numeric > 548.8 AND T2.type_id = 1         GROUP BY T1.year",114
how high is the total number of cars per capita in the canton zurich in the year 2007?,SELECT T1.passenger_cars_per_1000_inhabitants FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2007,489.5
which region had the lowest number of cars per capita in the year 2007?,SELECT T2.name         FROM number_of_passenger_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2007         ORDER BY T1.passenger_cars_per_1000_inhabitants         LIMIT 1,379.2
how high is the share of people living in proximity of a trainstation or busstop in hinwil in the year 2013?,SELECT T1.access_by_suburban_train_and_bus         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Hinwil' AND T1.year = 2013,49.9
which municipality has the highest share of people living in proximity of a trainstation or busstop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus DESC LIMIT 1,81.8
which municipality has the minimum share of people living in proximity of a trainstation or busstop?,SELECT T2.name         FROM spatialunit AS T2         JOIN accessibility_train_and_bus AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.access_by_suburban_train_and_bus ASC LIMIT 1,0.0
"what are the highest, lowest and average share of people living in proximity of a trainstation or busstop?","SELECT MAX(T1.access_by_suburban_train_and_bus::numeric),         MIN(T1.access_by_suburban_train_and_bus::numeric), AVG(T1.access_by_suburban_train_and_bus::numeric)         FROM accessibility_train_and_bus AS T1","[81.8, 0.0, 27.63]"
how many municipalities have a share of people living in proximity of a trainstation or busstop higher than 49.9 per year?,"SELECT T1.year, COUNT(*)         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.access_by_suburban_train_and_bus::numeric > 49.9 AND T2.type_id = 1         GROUP BY T1.year",47
how high is the total share of people living in proximity of a trainstation or busstop in the canton zurich in the year 2013?,SELECT T1.access_by_suburban_train_and_bus FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,43.7
which region had the lowest share of people living in proximity of a trainstation or busstop in the year 2013?,SELECT T2.name         FROM accessibility_train_and_bus AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.access_by_suburban_train_and_bus         LIMIT 1,27.5
how high is the share of public transport in traffic movements of people living in regensberg in the year 2013?,SELECT T1.public_transport_share_modal_split         FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Regensberg' AND T1.year = 2013,13.0
which municipality has the highest share of public transport in traffic movements of people living?,SELECT T2.name         FROM spatialunit AS T2         JOIN public_transport_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.public_transport_share_modal_split DESC LIMIT 1,49.0
which municipality has the minimum share of public transport in traffic movements of people living?,SELECT T2.name         FROM spatialunit AS T2         JOIN public_transport_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.public_transport_share_modal_split ASC LIMIT 1,2.0
"what are the highest, lowest and average share of public transport in traffic movements of people living?","SELECT MAX(T1.public_transport_share_modal_split::numeric),         MIN(T1.public_transport_share_modal_split::numeric), AVG(T1.public_transport_share_modal_split::numeric)         FROM public_transport_share AS T1","[49.0, 2.0, 13.94]"
how many municipalities have a share of public transport in traffic movements of people living higher than 13.0 per year?,"SELECT T1.year, COUNT(*)         FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.public_transport_share_modal_split::numeric > 13.0 AND T2.type_id = 1         GROUP BY T1.year",74
how high is the total share of public transport in traffic movements of people living in the canton zurich in the year 2013?,SELECT T1.public_transport_share_modal_split FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,30.0
which region had the lowest share of public transport in traffic movements of people living in the year 2013?,SELECT T2.name         FROM public_transport_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.public_transport_share_modal_split         LIMIT 1,10.0
how high is the share of motorised private transport in traffic movements of people living in niederhasli in the year 2013?,SELECT T1.miv_share_modal_split         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Niederhasli' AND T1.year = 2013,90.0
which municipality has the highest share of motorised private transport in traffic movements of people living?,SELECT T2.name         FROM spatialunit AS T2         JOIN miv_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.miv_share_modal_split DESC LIMIT 1,98.0
which municipality has the minimum share of motorised private transport in traffic movements of people living?,SELECT T2.name         FROM spatialunit AS T2         JOIN miv_share AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.miv_share_modal_split ASC LIMIT 1,51.0
"what are the highest, lowest and average share of motorised private transport in traffic movements of people living?","SELECT MAX(T1.miv_share_modal_split::numeric),         MIN(T1.miv_share_modal_split::numeric), AVG(T1.miv_share_modal_split::numeric)         FROM miv_share AS T1","[98.0, 51.0, 86.06]"
how many municipalities have a share of motorised private transport in traffic movements of people living higher than 90.0 per year?,"SELECT T1.year, COUNT(*)         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.miv_share_modal_split::numeric > 90.0 AND T2.type_id = 1         GROUP BY T1.year",55
how high is the total share of motorised private transport in traffic movements of people living in the canton zurich in the year 2013?,SELECT T1.miv_share_modal_split FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2013,70.0
which region had the lowest share of motorised private transport in traffic movements of people living in the year 2013?,SELECT T2.name         FROM miv_share AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2013         ORDER BY T1.miv_share_modal_split         LIMIT 1,51.0
how high is the number of newly registered cars in affoltern a.a. in the year 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Affoltern a.A.' AND T1.year = 2003,28.2
which municipality has the highest number of newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants DESC LIMIT 1,96.9
which municipality has the minimum number of newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN amount_new_pw_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants ASC LIMIT 1,12.4
"what are the highest, lowest and average number of newly registered cars?","SELECT MAX(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric),         MIN(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric), AVG(T1.amount_new_pw_registrations_per_1000_inhabitants::numeric)         FROM amount_new_pw_registrations AS T1","[96.9, 12.4, 35.21]"
how many municipalities have a number of newly registered cars higher than 28.2 per year?,"SELECT T1.year, COUNT(*)         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.amount_new_pw_registrations_per_1000_inhabitants::numeric > 28.2 AND T2.type_id = 1         GROUP BY T1.year",140
how high is the total number of newly registered cars in the canton zurich in the year 2003?,SELECT T1.amount_new_pw_registrations_per_1000_inhabitants FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2003,33.1
which region had the lowest number of newly registered cars in the year 2003?,SELECT T2.name         FROM amount_new_pw_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2003         ORDER BY T1.amount_new_pw_registrations_per_1000_inhabitants         LIMIT 1,26.4
how high is the share of hybrid vehicles in uster in the year 2014?,SELECT T1.share_of_hybrid_cars         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uster' AND T1.year = 2014,1.4
which municipality has the highest share of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars DESC LIMIT 1,2.2
which municipality has the minimum share of hybrid vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_of_hybrid_cars ASC LIMIT 1,0.0
"what are the highest, lowest and average share of hybrid vehicles?","SELECT MAX(T1.share_of_hybrid_cars::numeric),         MIN(T1.share_of_hybrid_cars::numeric), AVG(T1.share_of_hybrid_cars::numeric)         FROM share_hybrid_cars AS T1","[2.2, 0.0, 1.13]"
how many municipalities have a share of hybrid vehicles higher than 1.4 per year?,"SELECT T1.year, COUNT(*)         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.share_of_hybrid_cars::numeric > 1.4 AND T2.type_id = 1         GROUP BY T1.year",26
how high is the total share of hybrid vehicles in the canton zurich in the year 2014?,SELECT T1.share_of_hybrid_cars FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
which region had the lowest share of hybrid vehicles in the year 2014?,SELECT T2.name         FROM share_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.share_of_hybrid_cars         LIMIT 1,1.0
how high is the share of electric vehicles in zollikon in the year 2005?,SELECT T1.share_electric_cars         FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Zollikon' AND T1.year = 2005,0.0
which municipality has the highest share of electric vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_electric_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_electric_cars DESC LIMIT 1,0.3
which municipality has the minimum share of electric vehicles?,SELECT T2.name         FROM spatialunit AS T2         JOIN share_electric_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.share_electric_cars ASC LIMIT 1,0.0
"what are the highest, lowest and average share of electric vehicles?","SELECT MAX(T1.share_electric_cars::numeric),         MIN(T1.share_electric_cars::numeric), AVG(T1.share_electric_cars::numeric)         FROM share_electric_cars AS T1","[0.3, 0.0, 0.01]"
how many municipalities have a share of electric vehicles higher than 0.0 per year?,"SELECT T1.year, COUNT(*)         FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.share_electric_cars::numeric > 0.0 AND T2.type_id = 1         GROUP BY T1.year",11
how high is the total share of electric vehicles in the canton zurich in the year 2005?,SELECT T1.share_electric_cars FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2005,0.0
which region had the lowest share of electric vehicles in the year 2005?,SELECT T2.name         FROM share_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2005         ORDER BY T1.share_electric_cars         LIMIT 1,0.0
how high is the share of hybrid vehicles within the newly registered cars in schleinikon in the year 2014?,SELECT T1.new_hybrid_car_registrations         FROM new_hybrid_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Schleinikon' AND T1.year = 2014,0.0
which municipality has the highest share of hybrid vehicles within the newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN new_hybrid_car_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.new_hybrid_car_registrations DESC LIMIT 1,14.3
which municipality has the minimum share of hybrid vehicles within the newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN new_hybrid_car_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.new_hybrid_car_registrations ASC LIMIT 1,0.0
"what are the highest, lowest and average share of hybrid vehicles within the newly registered cars?","SELECT MAX(T1.new_hybrid_car_registrations::numeric),         MIN(T1.new_hybrid_car_registrations::numeric), AVG(T1.new_hybrid_car_registrations::numeric)         FROM new_hybrid_car_registrations AS T1","[14.3, 0.0, 2.48]"
how many municipalities have a share of hybrid vehicles within the newly registered cars higher than 0.0 per year?,"SELECT T1.year, COUNT(*)         FROM new_hybrid_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.new_hybrid_car_registrations::numeric > 0.0 AND T2.type_id = 1         GROUP BY T1.year",143
how high is the total share of hybrid vehicles within the newly registered cars in the canton zurich in the year 2014?,SELECT T1.new_hybrid_car_registrations FROM new_hybrid_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,2.6
which region had the lowest share of hybrid vehicles within the newly registered cars in the year 2014?,SELECT T2.name         FROM new_hybrid_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.new_hybrid_car_registrations         LIMIT 1,2.0
how high is the share of electric vehicles within the newly registered cars in zollikon in the year 2014?,SELECT T1.new_electric_car_registrations         FROM new_electric_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Zollikon' AND T1.year = 2014,1.2
which municipality has the highest share of electric vehicles within the newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN new_electric_car_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.new_electric_car_registrations DESC LIMIT 1,13.3
which municipality has the minimum share of electric vehicles within the newly registered cars?,SELECT T2.name         FROM spatialunit AS T2         JOIN new_electric_car_registrations AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.new_electric_car_registrations ASC LIMIT 1,0.0
"what are the highest, lowest and average share of electric vehicles within the newly registered cars?","SELECT MAX(T1.new_electric_car_registrations::numeric),         MIN(T1.new_electric_car_registrations::numeric), AVG(T1.new_electric_car_registrations::numeric)         FROM new_electric_car_registrations AS T1","[13.3, 0.0, 1.28]"
how many municipalities have a share of electric vehicles within the newly registered cars higher than 1.2 per year?,"SELECT T1.year, COUNT(*)         FROM new_electric_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.new_electric_car_registrations::numeric > 1.2 AND T2.type_id = 1         GROUP BY T1.year",66
how high is the total share of electric vehicles within the newly registered cars in the canton zurich in the year 2014?,SELECT T1.new_electric_car_registrations FROM new_electric_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2014,1.2
which region had the lowest share of electric vehicles within the newly registered cars in the year 2014?,SELECT T2.name         FROM new_electric_car_registrations AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2014         ORDER BY T1.new_electric_car_registrations         LIMIT 1,0.6
how high is the  total new registrations of electric and hybrid motor cars [%]  in humlikon in the year 2017?,SELECT T1.total_reg_electric_cars         FROM total_registrations_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Humlikon' AND T1.year = 2017,14.3
which municipality has the highest  total new registrations of electric and hybrid motor cars [%] ?,SELECT T2.name         FROM spatialunit AS T2         JOIN total_registrations_electric_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.total_reg_electric_cars DESC LIMIT 1,20.0
which municipality has the minimum  total new registrations of electric and hybrid motor cars [%] ?,SELECT T2.name         FROM spatialunit AS T2         JOIN total_registrations_electric_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.total_reg_electric_cars ASC LIMIT 1,0.0
"what are the highest, lowest and average  total new registrations of electric and hybrid motor cars [%] ?","SELECT MAX(T1.total_reg_electric_cars::numeric),         MIN(T1.total_reg_electric_cars::numeric), AVG(T1.total_reg_electric_cars::numeric)         FROM total_registrations_electric_hybrid_cars AS T1","[20.0, 0.0, 6.06]"
how many municipalities have a  total new registrations of electric and hybrid motor cars [%]  higher than 14.3 per year?,"SELECT T1.year, COUNT(*)         FROM total_registrations_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.total_reg_electric_cars::numeric > 14.3 AND T2.type_id = 1         GROUP BY T1.year",4
how high is the total  total new registrations of electric and hybrid motor cars [%]  in the canton zurich in the year 2017?,SELECT T1.total_reg_electric_cars FROM total_registrations_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2017,6.2
which region had the lowest  total new registrations of electric and hybrid motor cars [%]  in the year 2017?,SELECT T2.name         FROM total_registrations_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2017         ORDER BY T1.total_reg_electric_cars         LIMIT 1,4.5
how high is the total of electric and hybrid motor cars stock [%] in baeretswil in the year 2016?,SELECT T1.total_electric_cars         FROM total_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Baeretswil' AND T1.year = 2016,1.7
which municipality has the highest total of electric and hybrid motor cars stock [%]?,SELECT T2.name         FROM spatialunit AS T2         JOIN total_electric_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.total_electric_cars DESC LIMIT 1,9.3
which municipality has the minimum total of electric and hybrid motor cars stock [%]?,SELECT T2.name         FROM spatialunit AS T2         JOIN total_electric_hybrid_cars AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.total_electric_cars ASC LIMIT 1,0.3
"what are the highest, lowest and average total of electric and hybrid motor cars stock [%]?","SELECT MAX(T1.total_electric_cars::numeric),         MIN(T1.total_electric_cars::numeric), AVG(T1.total_electric_cars::numeric)         FROM total_electric_hybrid_cars AS T1","[9.3, 0.3, 1.85]"
how many municipalities have a total of electric and hybrid motor cars stock [%] higher than 1.7 per year?,"SELECT T1.year, COUNT(*)         FROM total_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.total_electric_cars::numeric > 1.7 AND T2.type_id = 1         GROUP BY T1.year",88
how high is the total total of electric and hybrid motor cars stock [%] in the canton zurich in the year 2016?,SELECT T1.total_electric_cars FROM total_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2016,2.0
which region had the lowest total of electric and hybrid motor cars stock [%] in the year 2016?,SELECT T2.name         FROM total_electric_hybrid_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2016         ORDER BY T1.total_electric_cars         LIMIT 1,1.6
how high is the charging stations of electronic cars per 1000 inhabitants [no.]  in bruetten in the year 2021?,SELECT T1.charging_stations_per_inh         FROM charging_stations_electric_cars_per_inh AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Bruetten' AND T1.year = 2021,0.383288616328095
which municipality has the highest charging stations of electronic cars per 1000 inhabitants [no.] ?,SELECT T2.name         FROM spatialunit AS T2         JOIN charging_stations_electric_cars_per_inh AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.charging_stations_per_inh DESC LIMIT 1,6.74157303370787
which municipality has the minimum charging stations of electronic cars per 1000 inhabitants [no.] ?,SELECT T2.name         FROM spatialunit AS T2         JOIN charging_stations_electric_cars_per_inh AS T1 ON T2.spatialunit_id = T1.spatialunit_id         ORDER BY T1.charging_stations_per_inh ASC LIMIT 1,0.0
"what are the highest, lowest and average charging stations of electronic cars per 1000 inhabitants [no.] ?","SELECT MAX(T1.charging_stations_per_inh::numeric),         MIN(T1.charging_stations_per_inh::numeric), AVG(T1.charging_stations_per_inh::numeric)         FROM charging_stations_electric_cars_per_inh AS T1","[6.74157303370787, 0.0, 0.39]"
how many municipalities have a charging stations of electronic cars per 1000 inhabitants [no.]  higher than 0.383288616328095 per year?,"SELECT T1.year, COUNT(*)         FROM charging_stations_electric_cars_per_inh AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T1.charging_stations_per_inh::numeric > 0.383288616328095 AND T2.type_id = 1         GROUP BY T1.year",31
how high is the total charging stations of electronic cars per 1000 inhabitants [no.]  in the canton zurich in the year 2021?,SELECT T1.charging_stations_per_inh FROM charging_stations_electric_cars_per_inh AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 8 AND T1.year = 2021,0.092781592132121
which region had the lowest charging stations of electronic cars per 1000 inhabitants [no.]  in the year 2021?,SELECT T2.name         FROM charging_stations_electric_cars_per_inh AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.type_id = 4 AND T1.year = 2021         ORDER BY T1.charging_stations_per_inh         LIMIT 1,0.0
how high is the charging stations of electronic cars [no.]  in uetikon a.s. in the year 2021?,SELECT T1.charging_stations         FROM charging_stations_electric_cars AS T1         JOIN spatialunit AS T2 ON T1.spatialunit_id = T2.spatialunit_id         WHERE T2.name LIKE 'Uetikon a.S.' AND T1.year = 2021,1.0
