SPATIALUNIT_ID,TYPE_ID,NAME,BFS_NR,NAME_COMBINED,DISTRICT_ID,REGION_ID,COMMUNE_TYPE_ID,ZIP,TEL,FAX,HOMEPAGE,EMAIL,ADRESSE,HEIGHT,AREA
172,3,Bezirk Affoltern,,Bezirk Affoltern,1.0,,,,,,,,,,11308
175,3,Bezirk Dielsdorf,,Bezirk Dielsdorf,4.0,,,,,,,,,,15286
180,3,Bezirk Uster,,Bezirk Uster,9.0,,,,,,,,,,11239
181,3,Bezirk Winterthur,,Bezirk Winterthur,10.0,,,,,,,,,,25185
183,3,Bezirk Zuerich,,Bezirk Zuerich,12.0,,,,,,,,,,8790
184,4,Region Furttal,,Region Furttal,,7.0,,,,,,,,,4052
185,4,Region Glattal,,Region Glattal,,6.0,,,,,,,,,12652
187,4,Region Limmattal,,Region Limmattal,,2.0,,,,,,,,,5998
189,4,Region Pfannenstiel,,Region Pfannenstiel,,5.0,,,,,,,,,9910
194,4,Region Zuerich,,Region Zuerich,,1.0,,,,,,,,,8790
3,1,Bonstetten,3.0,Bonstetten,1.0,3.0,4.0,8906.0,044 701 95 00,044 701 95 01,www.bonstetten.ch,gemeinderatskanzlei@bonstetten.ch,Gemeindeverwaltung,528.0,745
6,1,Kappel a.A.,6.0,Kappel a.A.,1.0,3.0,6.0,8926.0,044 764 12 55,044 764 22 65,www.kappel-am-albis.ch,gemeinde@kappel-am-albis.ch,Gemeindeverwaltung,576.0,783
9,1,Mettmenstetten,9.0,Mettmenstetten,1.0,3.0,4.0,8932.0,044 767 90 10,044 767 90 20,www.mettmenstetten.ch,gemeinde@mettmenstetten.ch,Gemeindeverwaltung,460.0,1305
13,1,Stallikon,13.0,Stallikon,1.0,3.0,5.0,8143.0,044 701 92 00,044 701 92 01,www.stallikon.ch,kanzlei@stallikon.ch,Gemeindeverwaltung,550.0,1201
15,1,Adlikon,21.0,Adlikon,2.0,10.0,6.0,8452.0,052 317 24 18,052 317 38 75,www.adlikon.ch,kanzlei@adlikon.ch,Gemeindeverwaltung,450.0,664
19,1,Dachsen,25.0,Dachsen,2.0,10.0,4.0,8447.0,052 647 60 60,052 647 60 65,www.dachsen.ch,info@dachsen.ch,Gemeindeverwaltung,393.0,269
22,1,Flaach,28.0,Flaach,2.0,10.0,7.0,8416.0,052 304 15 15,052 304 15 10,www.flaach.ch,gemeinde@flaach.ch,Gemeindeverwaltung,360.0,1020
26,1,Humlikon,32.0,Humlikon,2.0,10.0,7.0,8457.0,052 317 19 76,052 317 29 70,www.humlikon.ch,kanzlei@humlikon.ch,Gemeindeverwaltung,440.0,368
29,1,Marthalen,35.0,Marthalen,2.0,10.0,6.0,8460.0,052 305 44 44,052 305 44 55,www.marthalen.ch,admin@marthalen.ch,Gemeindeverwaltung,412.0,1415
32,1,Rheinau,38.0,Rheinau,2.0,10.0,6.0,8462.0,052 305 40 80,052 305 40 81,www.rheinau.ch,gemeinde@rheinau.ch,Gemeindeverwaltung,372.0,893
34,1,Truellikon,40.0,Truellikon,2.0,10.0,6.0,8466.0,052 319 13 29,052 319 14 01,www.truellikon.ch,info@truellikon.ch,Gemeindeverwaltung,438.0,956
37,1,Volken,43.0,Volken,2.0,10.0,6.0,8459.0,052 318 19 04,052 318 17 81,www.volken.ch,gemeinde@volken.ch,Gemeindeverwaltung,406.0,327
40,1,Bassersdorf,52.0,Bassersdorf,3.0,6.0,3.0,8303.0,044 838 85 85,044 838 85 69,www.bassersdorf.ch,gemeinde@bassersdorf.ch ,Gemeindeverwaltung,460.0,899
44,1,Embrach,56.0,Embrach,3.0,11.0,3.0,8424.0,044 866 36 36,044 866 36 00,www.embrach.ch,gemeindeverwaltung@embrach.ch,Gemeindeverwaltung,420.0,1274
47,1,Hochfelden,59.0,Hochfelden,3.0,11.0,4.0,8182.0,043 411 30 10,043 411 30 14,www.hochfelden.ch,info@hochfelden.ch,Gemeindeverwaltung,402.0,615
50,1,Kloten,62.0,Kloten,3.0,6.0,2.0,8302.0,044 815 11 11,044 815 12 44,www.kloten.ch,info@kloten.ch,Stadtverwaltung,447.0,1930
57,1,Wallisellen,69.0,Wallisellen,3.0,6.0,2.0,8304.0,044 832 61 11,-,www.wallisellen.ch,praesidialabteilung@wallisellen.ch,Gemeindeverwaltung,431.0,646
60,1,Winkel,72.0,Winkel,3.0,11.0,3.0,8185.0,044 864 81 11,,www.winkel.ch,info@winkel.ch,Gemeindeverwaltung,450.0,810
63,1,Buchs,83.0,Buchs,4.0,7.0,3.0,8107.0,044 847 75 00,044 847 75 05,www.buchs-zh.ch ,kanzlei@buchs-zh.ch,Gemeindeverwaltung,424.0,588
66,1,Dielsdorf,86.0,Dielsdorf,4.0,11.0,2.0,8157.0,044 854 71 71,044 854 71 75,www.dielsdorf.ch,gemeinde@dielsdorf.ch,Gemeindeverwaltung,429.0,587
69,1,Niederglatt,89.0,Niederglatt,4.0,11.0,3.0,8172.0,044 852 20 40,044 850 05 08,www.niederglatt-zh.ch,einwohnerkontrolle@niederglatt-zh.ch,Gemeindeverwaltung,424.0,360
72,1,Oberglatt,92.0,Oberglatt,4.0,11.0,3.0,8154.0,044 852 37 00,044 852 37 93,www.oberglatt.ch,gemeinde@oberglatt.ch,Gemeindeverwaltung,430.0,823
75,1,Regensberg,95.0,Regensberg,4.0,11.0,4.0,8158.0,044 853 12 00,044 853 33 17,www.regensberg.ch,gemeindeverwaltung@regensberg.ch,Gemeindeverwaltung,600.0,238
78,1,Schleinikon,98.0,Schleinikon,4.0,11.0,4.0,8165.0,043 422 60 90,043 422 60 99,www.schleinikon.ch,info@schleinikon.ch,Gemeindeverwaltung,470.0,565
81,1,Steinmaur,101.0,Steinmaur,4.0,11.0,3.0,8162.0,044 855 40 40,044 855 40 30,www.steinmaur.ch,edith.lee@steinmaur.ch,Gemeindeverwaltung,451.0,947
84,1,Bubikon,112.0,Bubikon,5.0,8.0,2.0,8608.0,055 253 33 33,055 253 33 00,www.bubikon.ch,gemeinde@bubikon.ch,Gemeindeverwaltung,529.0,1164
87,1,Gossau,115.0,Gossau,5.0,8.0,4.0,8625.0,044 936 55 11,044 936 55 66,www.gossau-zh.ch,info@gossau-zh.ch,Gemeindeverwaltung,500.0,1828
89,1,Hinwil,117.0,Hinwil,5.0,8.0,2.0,8340.0,044 938 55 11,044 938 55 10,www.hinwil.ch,gemeinde@hinwil.ch,Gemeindeverwaltung,565.0,2231
92,1,Wald,120.0,Wald,5.0,8.0,6.0,8636.0,055 256 51 11,055 256 51 12,www.wald-zh.ch,gemeinde@wald-zh.ch,Gemeindeverwaltung,616.0,2524
94,1,Adliswil,131.0,Adliswil,6.0,4.0,3.0,8134.0,044 711 77 11,044 711 77 14,www.adliswil.ch,adliswil@adliswil.ch,Stadtverwaltung,451.0,780
97,1,Huetten (bis 2018),134.0,Huetten (bis 2018),6.0,4.0,6.0,8825.0,044 788 90 20,044 788 90 29,www.waedenswil.ch,info@waedenswil.ch,Gemeindeverwaltung,742.0,724
100,1,Oberrieden,137.0,Oberrieden,6.0,4.0,5.0,8942.0,044 722 71 70,044 722 71 85,www.oberrieden.ch,gemeindekanzlei@oberrieden.ch,Gemeindeverwaltung,424.0,277
103,1,Schoenenberg (bis 2018),140.0,Schoenenberg (bis 2018),6.0,4.0,6.0,8824.0,044 788 90 60,044 788 90 69,www.waedenswil.ch,info@waedenswil.ch,Gemeindeverwaltung,715.0,1102
109,1,Kuesnacht,154.0,Kuesnacht,7.0,5.0,5.0,8700.0,044 913 11 11,044 913 11 14,www.kuesnacht.ch,info@kuesnacht.ch,Gemeindeverwaltung,415.0,1233
112,1,Oetwil a.S.,157.0,Oetwil a.S.,7.0,5.0,3.0,8618.0,044 929 60 11,044 929 60 10,www.oetwil.ch,praesidiales@oetwil.ch,Gemeindeverwaltung,538.0,607
1,1,Aeugst a.A.,1.0,Aeugst a.A.,1.0,3.0,4.0,8914.0,044 763 50 60,044 763 50 69,www.aeugst-albis.ch,gemeinde@aeugst-albis.ch,Gemeindeverwaltung,700.0,787
2,1,Affoltern a.A.,2.0,Affoltern a.A.,1.0,3.0,2.0,8910.0,044 762 56 56,044 762 56 90,www.stadtaffoltern.ch,info@stadtaffoltern.ch,Gemeindeverwaltung,494.0,1060
4,1,Hausen a.A.,4.0,Hausen a.A.,1.0,3.0,6.0,8915.0,044 764 80 20,044 764 80 29,www.hausen.ch,gemeinde@hausen.ch,Gemeindeverwaltung,617.0,1368
5,1,Hedingen,5.0,Hedingen,1.0,3.0,4.0,8908.0,044 762 25 25,044 760 05 73,www.hedingen.ch,info@hedingen.ch,Gemeindeverwaltung,497.0,653
7,1,Knonau,7.0,Knonau,1.0,3.0,4.0,8934.0,044 768 50 50,044 768 50 55,www.knonau.ch,gemeinde@knonau.ch,Gemeindeverwaltung,436.0,651
8,1,Maschwanden,8.0,Maschwanden,1.0,3.0,6.0,8933.0,044 767 05 55,044 767 06 36,www.maschwanden.ch,gemeinderatskanzlei@maschwanden.ch,Gemeindeverwaltung,409.0,468
10,1,Obfelden,10.0,Obfelden,1.0,3.0,4.0,8912.0,044 763 53 53,044 763 53 59,www.obfelden.ch,gemeindeverwaltung@obfelden.ch,Gemeindeverwaltung,436.0,755
11,1,Ottenbach,11.0,Ottenbach,1.0,3.0,4.0,8913.0,044 763 40 50,044 763 40 59,www.ottenbach.ch,info@ottenbach.ch,Gemeindeverwaltung,420.0,498
12,1,Rifferswil,12.0,Rifferswil,1.0,3.0,6.0,8911.0,044 764 11 50,044 764 20 36,www.rifferswil.ch,gemeinde@rifferswil.ch,Gemeindeverwaltung,590.0,657
14,1,Wettswil a.A.,14.0,Wettswil a.A.,1.0,3.0,4.0,8907.0,044 700 06 42,044 700 23 16,www.wettswil.ch,gemeindeverwaltung@wettswil.ch,Gemeindeverwaltung,562.0,377
16,1,Benken,22.0,Benken,2.0,10.0,6.0,8463.0,052 319 11 80,052 319 20 23,www.benken-zh.ch,info@benken-zh.ch,Gemeindeverwaltung,421.0,567
17,1,Berg a.I.,23.0,Berg a.I.,2.0,10.0,6.0,8415.0,052 318 11 89,052 318 22 15,www.berg-am-irchel.ch,gemeinde@berg-am-irchel.ch,Gemeindeverwaltung,410.0,706
18,1,Buch a.I.,24.0,Buch a.I.,2.0,10.0,6.0,8414.0,052 318 16 01,052 318 21 10,www.buchamirchel.ch,gemeinde@buchamirchel.ch,Gemeindeverwaltung,530.0,1018
20,1,Dorf,26.0,Dorf,2.0,10.0,6.0,8458.0,052 317 25 47,052 317 25 60,www.dorf.ch,gemeindekanzlei@dorf.ch,Gemeindeverwaltung,428.0,554
21,1,Feuerthalen,27.0,Feuerthalen,2.0,10.0,3.0,8245.0,052 647 47 47 ,052 647 47 48,www.feuerthalen.ch,info@feuerthalen.ch,Gemeindeverwaltung,408.0,250
23,1,Flurlingen,29.0,Flurlingen,2.0,10.0,4.0,8247.0,052 647 01 01 ,052 647 01 00,www.flurlingen.ch,gemeindeschreiber@flurlingen.ch,Gemeindeverwaltung,398.0,240
24,1,Andelfingen,30.0,Andelfingen,2.0,10.0,6.0,8450.0,052 304 27 00,052 304 27 09,www.andelfingen.ch,kanzlei@andelfingen.ch,Gemeindeverwaltung,402.0,669
25,1,Henggart,31.0,Henggart,2.0,10.0,4.0,8444.0,052 305 17 17,052 305 17 15,www.henggart.ch,gemeinde@henggart.ch,Gemeindeverwaltung,434.0,306
27,1,Kleinandelfingen,33.0,Kleinandelfingen,2.0,10.0,6.0,8451.0,052 305 22 33,052 305 22 39,www.kleinandelfingen.ch,gemeindeverwaltung@kleinandelfingen.ch,Gemeindeverwaltung,365.0,1029
28,1,Laufen-Uhwiesen,34.0,Laufen-Uhwiesen,2.0,10.0,4.0,8248.0,052 647 60 00,052 647 60 09,www.uhwiesen.ch,gemeinde@laufen-uhwiesen.ch,Gemeindeverwaltung,455.0,625
30,1,Oberstammheim (bis 2018),36.0,Oberstammheim (bis 2018),2.0,10.0,7.0,8477.0,052 745 12 58,052 745 28 19,www.oberstammheim.ch,gemeindeverwaltung@oberstammheim.ch,Gemeindeverwaltung,448.0,938
31,1,Ossingen,37.0,Ossingen,2.0,10.0,7.0,8475.0,052 317 14 63,052 317 15 60,www.ossingen.ch,gemeindeverwaltung@ossingen.ch,Gemeindeverwaltung,427.0,1311
33,1,Thalheim a.d.Th.,39.0,Thalheim a.d.Th.,2.0,10.0,6.0,8478.0,052 320 82 82,052 320 82 83,www.thalheim.ch,gemeinde@thalheim.ch,Gemeindeverwaltung,385.0,644
35,1,Truttikon,41.0,Truttikon,2.0,10.0,7.0,8467.0,052 317 24 26,052 317 11 80,www.truttikon.ch,gemeinde@truttikon.ch,Gemeindeverwaltung,470.0,443
36,1,Unterstammheim (bis 2018),42.0,Unterstammheim (bis 2018),2.0,10.0,7.0,8476.0,052 745 12 77,052 745 23 98,www.unterstammheim.ch,gemeinde@unterstammheim.ch,Gemeindeverwaltung,442.0,727
38,1,Waltalingen (bis 2018),44.0,Waltalingen (bis 2018),2.0,10.0,7.0,8468.0,052 744 03 20,052 744 03 21,www.waltalingen.ch,gemeinde@waltalingen.ch,Gemeindeverwaltung,440.0,728
39,1,Bachenbuelach,51.0,Bachenbuelach,3.0,11.0,3.0,8184.0,044 864 34 80,044 860 75 68,www.bachenbuelach.ch,info@bachenbuelach.ch,Gemeindeverwaltung,428.0,429
41,1,Buelach,53.0,Buelach,3.0,11.0,2.0,8180.0,044 863 11 11,044 863 11 33,www.buelach.ch,info@buelach.ch,Stadtverwaltung,428.0,1610
42,1,Dietlikon,54.0,Dietlikon,3.0,6.0,2.0,8305.0,044 835 82 82,044 835 82 83,www.dietlikon.ch,gemeinde@dietlikon.ch,Gemeindeverwaltung,445.0,422
43,1,Eglisau,55.0,Eglisau,3.0,11.0,4.0,8193.0,043 422 35 01,043 422 35 08,www.eglisau.ch,info@eglisau.ch,Gemeindeverwaltung,392.0,908
45,1,Freienstein-Teufen,57.0,Freienstein-Teufen,3.0,11.0,4.0,8427.0,044 866 34 00,044 866 34 16,www.freienstein-teufen.ch,info@freienstein-teufen.ch,Gemeindeverwaltung,370.0,833
46,1,Glattfelden,58.0,Glattfelden,3.0,11.0,4.0,8192.0,044 868 32 32,044 868 32 53,www.glattfelden.ch,gemeinde@glattfelden.ch,Gemeindeverwaltung,410.0,1231
48,1,Hoeri,60.0,Hoeri,3.0,11.0,3.0,8181.0,044 872 77 11,044 872 77 29,www.hoeri.ch,info@hoeri.ch,Gemeindeverwaltung,418.0,477
49,1,Huentwangen,61.0,Huentwangen,3.0,11.0,4.0,8194.0,044 869 08 70,044 869 33 08,www.huentwangen.ch,gemeinde@huentwangen.ch,Gemeindeverwaltung,393.0,493
51,1,Lufingen,63.0,Lufingen,3.0,11.0,4.0,8426.0,043 204 20 40,043 204 20 41,www.lufingen.ch,gemeindeverwaltung@lufingen.ch,Gemeindeverwaltung,464.0,519
52,1,Nuerensdorf,64.0,Nuerensdorf,3.0,6.0,4.0,8309.0,044 838 40 50,044 838 40 70,www.nuerensdorf.ch,gemeinde@nuerensdorf.ch,Gemeindeverwaltung,505.0,1009
53,1,Oberembrach,65.0,Oberembrach,3.0,11.0,6.0,8425.0,044 866 26 00,044 866 26 16,www.oberembrach.ch,gemeinde@oberembrach.ch,Gemeindeverwaltung,459.0,1018
54,1,Opfikon,66.0,Opfikon,3.0,6.0,2.0,8152.0,044 829 81 11,044 829 83 38 ,www.opfikon.ch,stadtkanzlei@opfikon.ch,Stadtverwaltung,455.0,561
55,1,Rafz,67.0,Rafz,3.0,11.0,4.0,8197.0,044 879 14 44,044 879 14 64,www.rafz.ch,gemeindeverwaltung@rafz.ch,Gemeindeverwaltung,424.0,1072
56,1,Rorbas,68.0,Rorbas,3.0,11.0,4.0,8427.0,044 866 70 60,044 866 70 61,www.rorbas.ch,gemeindeverwaltung@rorbas.ch,Gemeindeverwaltung,402.0,446
58,1,Wasterkingen,70.0,Wasterkingen,3.0,11.0,4.0,8195.0,044 869 08 25,044 869 10 08,www.wasterkingen.ch,gemeinde@wasterkingen.ch,Gemeindeverwaltung,400.0,394
59,1,Wil,71.0,Wil,3.0,11.0,4.0,8196.0,044 879 20 80,044 879 20 81,www.wil-zh.ch,gemeinde@wil-zh.ch,Gemeindeverwaltung,415.0,897
61,1,Bachs,81.0,Bachs,4.0,11.0,7.0,8164.0,043 433 20 30,043 433 20 31,www.bachs.ch,gemeindeverwaltung@bachs.ch,Gemeindeverwaltung,470.0,915
62,1,Boppelsen,82.0,Boppelsen,4.0,7.0,4.0,8113.0,044 849 70 00,044 849 70 01,www.boppelsen.ch,gemeinde@boppelsen.ch,Gemeindeverwaltung,525.0,392
64,1,Daellikon,84.0,Daellikon,4.0,7.0,2.0,8108.0,044 847 19 19,044 847 19 11,www.daellikon.ch,info@daellikon.ch,Gemeindeverwaltung,440.0,448
65,1,Daenikon,85.0,Daenikon,4.0,7.0,4.0,8114.0,044 846 50 80 ,044 846 50 89,www.daenikon.ch,info@daenikon.ch,Gemeindeverwaltung,440.0,280
67,1,Huettikon,87.0,Huettikon,4.0,7.0,4.0,8115.0,044 847 25 00,044 847 25 09,www.huettikon.ch,gemeinde@huettikon.ch,Gemeindeverwaltung,438.0,160
68,1,Neerach,88.0,Neerach,4.0,11.0,4.0,8173.0,044 859 16 16,044 859 16 17,www.neerach.ch,gemeindeverwaltung@neerach.ch,Gemeindeverwaltung,430.0,600
70,1,Niederhasli,90.0,Niederhasli,4.0,11.0,3.0,8155.0,043 411 22 00,043 411 22 90,www.niederhasli.ch,gemeinde@niederhasli.ch,Gemeindeverwaltung,418.0,1131
71,1,Niederweningen,91.0,Niederweningen,4.0,11.0,4.0,8166.0,044 857 12 26,044 856 06 32,www.niederweningen.ch,gemeindeverwaltung@niederweningen.ch,Gemeindeverwaltung,444.0,688
73,1,Oberweningen,93.0,Oberweningen,4.0,11.0,4.0,8165.0,044 857 10 10,044 857 10 15,www.oberweningen.ch,gemeinde@oberweningen.ch,Gemeindeverwaltung,465.0,488
74,1,Otelfingen,94.0,Otelfingen,4.0,7.0,2.0,8112.0,044 847 20 47,044 847 20 42,www.otelfingen.ch,info@otelfingen.ch,Gemeindeverwaltung,427.0,721
76,1,Regensdorf,96.0,Regensdorf,4.0,7.0,2.0,8105.0,044 842 36 11,044 842 39 43,www.regensdorf.ch,info@regensdorf.ch,Gemeindeverwaltung,442.0,1463
77,1,Ruemlang,97.0,Ruemlang,4.0,6.0,2.0,8153.0,044 817 75 00,044 818 01 18,www.ruemlang.ch,gemeinde@ruemlang.ch,Gemeindeverwaltung,430.0,1246
79,1,Schoefflisdorf,99.0,Schoefflisdorf,4.0,11.0,4.0,8165.0,044 857 12 41,044 857 12 48,www.schoefflisdorf.ch,gemeinde@schoefflisdorf.ch,Gemeindeverwaltung,461.0,399
80,1,Stadel,100.0,Stadel,4.0,11.0,4.0,8174.0,044 859 12 12,044 859 12 13,www.stadel.ch,valentino.vinzens@stadel.ch,Gemeindeverwaltung,438.0,1289
82,1,Weiach,102.0,Weiach,4.0,11.0,4.0,8187.0,044 554 41 60,044 554 41 70,www.weiach.ch,info@weiach.ch,Gemeindeverwaltung,368.0,958
83,1,Baeretswil,111.0,Baeretswil,5.0,8.0,4.0,8344.0,044 939 90 42,044 939 90 55,www.baeretswil.ch,kanzlei@baeretswil.ch,Gemeindeverwaltung,696.0,2219
85,1,Duernten,113.0,Duernten,5.0,8.0,4.0,8635.0,055 251 57 00,055 251 57 01,www.duernten.ch,gemeindeverwaltung@duernten.ch,Gemeindeverwaltung,511.0,1021
86,1,Fischenthal,114.0,Fischenthal,5.0,8.0,7.0,8497.0,055 265 60 00,055 265 60 01,www.fischenthal.ch,info@fischenthal.ch,Gemeindeverwaltung,734.0,3016
88,1,Grueningen,116.0,Grueningen,5.0,8.0,4.0,8627.0,043 833 70 70,043 833 70 71,www.grueningen.ch,gemeinde@grueningen.ch,Gemeindeverwaltung,495.0,880
90,1,Rueti,118.0,Rueti,5.0,8.0,2.0,8630.0,055 251 33 33,055 251 33 34,www.rueti.ch,info@rueti.ch,Gemeindeverwaltung,482.0,1008
91,1,Seegraeben,119.0,Seegraeben,5.0,8.0,4.0,8607.0,043 477 40 90,043 477 40 99,www.seegraeben.ch,einwohnerkontrolle@seegraeben.ch,Gemeindeverwaltung,566.0,377
93,1,Wetzikon,121.0,Wetzikon,5.0,8.0,1.0,8620.0,044 931 32 00,044 931 32 01,www.wetzikon.ch,info@wetzikon.ch,Gemeindeverwaltung,532.0,1671
95,1,Hirzel (bis 2017),132.0,Hirzel (bis 2017),6.0,4.0,6.0,8816.0,044 729 70 70,044 729 70 77,www.hirzel.ch,gemeindeverwaltung@hirzel.ch,Gemeindeverwaltung,720.0,970
96,1,Horgen (bis 2017),133.0,Horgen (bis 2017),6.0,4.0,2.0,8810.0,044 728 41 11,044 725 58 30,www.horgen.ch,gemeinde@horgen.ch,Gemeindeverwaltung,408.0,2113
98,1,Kilchberg,135.0,Kilchberg,6.0,4.0,5.0,8802.0,044 716 31 11,044 716 31 19,www.kilchberg.ch,gemeinderatskanzlei@kilchberg.ch,Gemeindeverwaltung,424.0,260
99,1,Langnau a.A.,136.0,Langnau a.A.,6.0,4.0,3.0,8135.0,044 713 55 11,044 713 25 21,www.langnauamalbis.ch,info@langnau.ch,Gemeindeverwaltung,468.0,865
101,1,Richterswil,138.0,Richterswil,6.0,4.0,3.0,8805.0,044 787 11 11,044 787 12 04,www.richterswil.ch,gemeindeschreiber@richterswil.ch,Gemeindeverwaltung,408.0,755
102,1,Rueschlikon,139.0,Rueschlikon,6.0,4.0,5.0,8803.0,044 724 72 11 ,044 724 72 27,www.rueschlikon.ch,gemeinde@rueschlikon.ch,Gemeindeverwaltung,432.0,292
104,1,Thalwil,141.0,Thalwil,6.0,4.0,3.0,8800.0,044 723 21 11,044 723 23 60,www.thalwil.ch,info@thalwil.ch,Gemeindeverwaltung,435.0,551
105,1,Waedenswil (bis 2018),142.0,Waedenswil (bis 2018),6.0,4.0,2.0,8820.0,044 789 72 11,044 789 72 14,www.waedenswil.ch,info@waedenswil.ch,Stadtverwaltung,408.0,1735
106,1,Erlenbach,151.0,Erlenbach,7.0,5.0,5.0,8703.0,044 913 88 00,044 913 88 01,www.erlenbach.ch,kanzlei@erlenbach.ch,Gemeindeverwaltung,422.0,296
107,1,Herrliberg,152.0,Herrliberg,7.0,5.0,5.0,8704.0,044 915 91 11,044 915 92 44,www.herrliberg.ch,gemeinde@herrliberg.ch,Gemeindeverwaltung,423.0,896
108,1,Hombrechtikon,153.0,Hombrechtikon,7.0,5.0,3.0,8634.0,055 254 92 92,055 244 43 82,www.hombrechtikon.ch,gemeinde@hombrechtikon.ch,Gemeindeverwaltung,498.0,1216
110,1,Maennedorf,155.0,Maennedorf,7.0,5.0,2.0,8708.0,044 921 66 11,044 921 66 09,www.maennedorf.ch,praesidiales@maennedorf.ch,Gemeindeverwaltung,406.0,475
111,1,Meilen,156.0,Meilen,7.0,5.0,5.0,8706.0,044 925 92 54,044 925 94 50,www.meilen.ch,info@meilen.ch,Gemeindeverwaltung,420.0,1191
113,1,Staefa,158.0,Staefa,7.0,5.0,2.0,8712.0,044 928 71 11,044 928 71 71,www.staefa.ch,gemeinde@staefa.ch,Gemeindeverwaltung,414.0,861
114,1,Uetikon a.S.,159.0,Uetikon a.S.,7.0,5.0,3.0,8707.0,044 922 72 11,044 922 72 75,www.uetikonamsee.ch,gemeinde@uetikonamsee.ch,Gemeindeverwaltung,414.0,351
116,1,Zollikon,161.0,Zollikon,7.0,5.0,5.0,8702.0,044 395 31 11,044 395 38 00,www.zollikon.ch,gemeinderatskanzlei@zollikon.ch,Gemeindeverwaltung,482.0,786
118,1,Fehraltorf,172.0,Fehraltorf,8.0,8.0,2.0,8320.0,043 355 77 77,043 355 77 76,www.fehraltorf.ch,gemeindeverwaltung@fehraltorf.ch,Gemeindeverwaltung,531.0,950
119,1,Hittnau,173.0,Hittnau,8.0,8.0,4.0,8335.0,043 288 66 66,043 288 66 67,www.hittnau.ch,kanzlei@hittnau.ch,Gemeindeverwaltung,641.0,1301
121,1,Kyburg (bis 2015),175.0,Kyburg (bis 2015),8.0,9.0,4.0,8314.0,052 232 25 75,052 232 25 55,www.kyburg.ch,gemeinde@kyburg.ch,Gemeindeverwaltung,629.0,761
122,1,Lindau,176.0,Lindau,8.0,9.0,2.0,8315.0,052 355 04 44,052 355 04 45,www.lindau.ch,info@lindau.ch,Gemeindeverwaltung,530.0,1193
124,1,Russikon,178.0,Russikon,8.0,8.0,4.0,8332.0,043 355 61 61,043 355 61 62,www.russikon.ch,info@russikon.ch,Gemeindeverwaltung,610.0,1428
126,1,Weisslingen,180.0,Weisslingen,8.0,9.0,6.0,8484.0,052 397 31 00 ,052 397 31 19,www.weisslingen.ch,silvano.castioni@weisslingen.ch,Gemeindeverwaltung,580.0,1275
