Kategorie,Sparte,Nachgefragt,Beschluss,Status,Eingangsdatum,Beschlussdatum,ID
Kulturschaffende,Musik,50900,31000,Ausbezahlt,2020-05-10,2020-09-10,538289c3
Kulturschaffende,Bereichsübergreifend,11800,0,Ausbezahlt,2020-05-10,2020-09-10,44ce3792
Kulturschaffende,Musik,6600,2900,Ausbezahlt,2020-05-10,2020-09-22,9af2c4cc
Kulturschaffende,Tanz/Theater,3700,0,Ausbezahlt,2020-05-09,2020-09-22,90c2688f
Kulturschaffende,Musik,7500,NA,Ablehnung,2020-05-09,2020-06-16,c2f5275d
Kulturschaffende,Bildende Kunst,10400,7500,Ausbezahlt,2020-05-09,2020-09-22,f1d567a0
Kulturschaffende,Musik,6000,4100,Ausbezahlt,2020-05-09,2020-09-29,3a1adc46
Kulturschaffende,Musik,5900,1600,Ausbezahlt,2020-05-09,2020-09-10,5fc281e3
Kulturschaffende,Bereichsübergreifend,4000,NA,Ablehnung,2020-05-09,2020-06-16,448c7618
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,124800,31800,Ausbezahlt,2020-05-09,2020-09-17,f226871d
Kulturschaffende,Musik,22600,9200,Ausbezahlt,2020-05-09,2020-09-29,7bcfc0b7
Kulturschaffende,Musik,6900,1100,Ausbezahlt,2020-05-08,2020-09-29,561ac319
Kulturschaffende,Bildende Kunst,36900,NA,Ablehnung,2020-05-08,2020-08-18,42fcd06c
Kulturunternehmen gemeinnützig,Film,30000,28200,Ausbezahlt,2020-05-08,2020-10-07,c1192787
Kulturschaffende,Musik,11100,NA,Ablehnung,2020-05-08,2020-10-07,5c7d1ed4
Kulturschaffende,Film,16800,NA,Ablehnung,2020-05-08,2020-06-29,d13f395f
Kulturunternehmen gemeinnützig,Musik,190900,152700,Ausbezahlt,2020-05-08,2020-09-09,3e8e4252
Kulturschaffende,Tanz/Theater,5100,NA,Ablehnung,2020-05-08,2020-07-21,142727ed
Kulturschaffende,Musik,9800,5600,Ausbezahlt,2020-05-08,2020-07-10,f6753ae3
Kulturschaffende,Musik,19700,13600,Ausbezahlt,2020-05-08,2020-09-29,c9b02990
Kulturschaffende,Literatur,22400,16300,Ausbezahlt,2020-05-08,2020-09-10,af8f51fd
Kulturschaffende,Musik,53700,37700,Ausbezahlt,2020-05-08,2020-09-10,3eb89c39
Kulturunternehmen gemeinnützig,Bereichsübergreifend,34300,16500,Ausbezahlt,2020-05-07,2020-10-07,bb833517
Kulturschaffende,Tanz/Theater,12400,6500,Ausbezahlt,2020-05-07,2020-09-09,d0897b4a
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,420900,NA,Ablehnung,2020-05-07,2020-06-16,010fa58c
Kulturschaffende,Musik,7100,0,Ausbezahlt,2020-05-07,2020-09-22,d8223f0a
Kulturschaffende,Bereichsübergreifend,30800,NA,Ablehnung,2020-05-07,2020-06-29,9ca15c7d
Kulturschaffende,Tanz/Theater,5800,NA,Ablehnung,2020-05-07,2020-06-16,46fd0468
Kulturschaffende,Literatur,3500,0,Ausbezahlt,2020-05-07,2020-09-09,04664d5c
Kulturschaffende,Musik,9200,NA,Ablehnung,2020-05-07,2020-06-23,60775207
Kulturunternehmen gewinnorientiert,Film,81500,NA,Ablehnung,2020-05-07,2020-08-28,41d54a50
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,424300,0,Ausbezahlt,2020-05-07,2020-11-25,d9a36592
Kulturschaffende,Musik,6800,NA,Ablehnung,2020-05-07,2020-06-23,2b6f0d6a
Kulturunternehmen gewinnorientiert,Film,51500,NA,Ablehnung,2020-05-07,2020-07-23,4507c2aa
Kulturschaffende,Musik,1300,1100,Ausbezahlt,2020-05-07,2020-09-09,e2bc74f7
Kulturschaffende,Bildende Kunst,1800,0,Ausbezahlt,2020-05-07,2020-11-17,717d5aa5
Kulturschaffende,Bildende Kunst,15000,NA,Ablehnung,2020-05-07,2020-08-18,cca84bbb
Kulturschaffende,Musik,7000,2200,Ausbezahlt,2020-05-07,2020-07-10,ee90da48
Kulturschaffende,Tanz/Theater,4700,600,Ausbezahlt,2020-05-07,2020-09-09,34ea1b12
Kulturschaffende,Musik,3500,0,Ausbezahlt,2020-05-07,2020-09-22,0f0fcf55
Kulturschaffende,Musik,29200,NA,Ablehnung,2020-05-07,2020-06-16,5452fee0
Kulturunternehmen gemeinnützig,Musik,19100,11900,Ausbezahlt,2020-05-07,2020-09-17,14a5f965
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,87100,40400,Ausbezahlt,2020-05-07,2020-09-03,b9959dc5
Kulturunternehmen gewinnorientiert,Tanz/Theater,381400,NA,Ablehnung,2020-05-07,2020-10-26,a6c71004
Kulturschaffende,Musik,32400,17600,Ausbezahlt,2020-05-07,2020-08-18,0f61fd1c
Kulturschaffende,Musik,9400,800,Ausbezahlt,2020-05-06,2020-07-10,d1fa225b
Kulturschaffende,Musik,16600,10500,Ausbezahlt,2020-05-06,2020-09-09,1d23e109
Kulturschaffende,Musik,7900,4500,Ausbezahlt,2020-05-06,2020-07-10,349c6ed6
Kulturschaffende,Musik,6900,4700,Ausbezahlt,2020-05-06,2020-07-21,16f6c1a8
Kulturschaffende,Film,16400,NA,Ablehnung,2020-05-06,2020-06-16,309714f0
Kulturunternehmen gewinnorientiert,Musik,37400,10400,Ausbezahlt,2020-05-06,2020-10-20,a0744e22
Kulturschaffende,Musik,17200,NA,Ablehnung,2020-05-06,2020-09-09,36499f13
Kulturschaffende,Musik,11100,5300,Ausbezahlt,2020-05-06,2020-07-21,3f662707
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,13600,26200,Ausbezahlt,2020-05-06,2020-09-21,dc169087
Kulturunternehmen gemeinnützig,Tanz/Theater,1300,900,Ausbezahlt,2020-05-13,2020-09-22,71fdaf2e
Kulturschaffende,Musik,10600,7000,Ausbezahlt,2020-05-13,2020-09-10,4645a388
Kulturschaffende,Musik,54300,NA,Ablehnung,2020-05-06,2020-06-16,f301bb35
Kulturschaffende,Musik,6000,2100,Ausbezahlt,2020-05-06,2020-09-09,5e9c0bb7
Kulturschaffende,Tanz/Theater,9700,2700,Ausbezahlt,2020-05-06,2020-09-09,8e56bb58
Kulturschaffende,Musik,4000,NA,Ablehnung,2020-05-06,2020-06-16,905c1f9a
Kulturunternehmen gewinnorientiert,Design,365600,NA,Ablehnung,2020-05-06,2020-08-18,d2cd0b71
Kulturschaffende,Musik,83400,NA,Ablehnung,2020-05-06,2020-06-16,116e1d6f
Kulturschaffende,Musik,4500,0,Ausbezahlt,2020-05-06,2020-09-21,0de1952c
Kulturunternehmen gewinnorientiert,Musik,21700,16200,Ausbezahlt,2020-05-06,2020-11-16,6f57cf75
Kulturschaffende,Musik,5200,1000,Ausbezahlt,2020-05-06,2020-09-21,e57398d0
Kulturschaffende,Musik,7400,3300,Ausbezahlt,2020-05-06,2020-09-09,d101eaeb
Kulturschaffende,Bildende Kunst,7400,NA,Ablehnung,2020-05-06,2020-08-18,31613b14
Kulturschaffende,Musik,14700,600,Ausbezahlt,2020-05-06,2020-09-09,5b63cb15
Kulturschaffende,Musik,9900,4000,Ausbezahlt,2020-05-06,2020-09-03,b3c1635e
Kulturschaffende,Musik,15000,5000,Ausbezahlt,2020-05-06,2020-09-17,25effd69
Kulturschaffende,Bereichsübergreifend,5000,NA,Ablehnung,2020-05-06,2020-06-23,14e91699
Kulturunternehmen gemeinnützig,Bereichsübergreifend,11200,6900,Ausbezahlt,2020-05-06,2020-12-02,f0f35e55
Kulturschaffende,Musik,3700,0,Ausbezahlt,2020-09-20,2020-11-25,c9369aa9
Kulturschaffende,Musik,11400,0,Ausbezahlt,2020-09-19,2020-11-25,8cc601a3
Kulturunternehmen gewinnorientiert,Musik,150000,91800,Ausbezahlt,2020-09-20,2020-12-08,b6b7e1e3
Kulturschaffende,Tanz/Theater,4000,2900,Ausbezahlt,2020-09-20,2020-11-25,8e56bb58
Kulturschaffende,Bereichsübergreifend,12900,9800,Ausbezahlt,2020-09-20,2020-12-02,8f54e794
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,1717900,1024800,Ausbezahlt,2020-09-20,2020-12-21,55cbe1d7
Kulturschaffende,Tanz/Theater,7300,2100,Ausbezahlt,2020-09-20,2020-11-25,dd37ef18
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,195700,NA,Ablehnung,2020-09-20,2020-12-02,e6a54389
Kulturschaffende,Musik,3000,3300,Ausbezahlt,2020-09-20,2020-11-25,9635976f
Kulturschaffende,Musik,16300,1100,Ausbezahlt,2020-09-19,2020-11-25,6f0af296
Kulturunternehmen gewinnorientiert,Museen,17800,NA,Ablehnung,2020-09-19,2021-01-08,6ed5e616
Kulturunternehmen gemeinnützig,Tanz/Theater,5400,4300,Ausbezahlt,2020-09-20,2020-12-02,85abf4ee
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,95800,0,Ausbezahlt,2020-09-20,2020-12-23,6545fb60
Kulturschaffende,Bildende Kunst,2700,1800,Ausbezahlt,2020-09-20,2020-12-02,1d2ef3d3
Kulturunternehmen gewinnorientiert,Kino,1654600,552500,Ausbezahlt,2020-09-20,2020-11-26,e2991aac
Kulturschaffende,Musik,5600,6100,Ausbezahlt,2020-09-20,2020-12-02,8e284e39
Kulturschaffende,Musik,3600,4600,Ausbezahlt,2020-09-20,2020-11-17,22879439
Kulturschaffende,Tanz/Theater,2900,1600,Ausbezahlt,2020-09-20,2020-11-25,78c1f21d
Kulturschaffende,Tanz/Theater,25500,12000,Ausbezahlt,2020-09-20,2020-12-02,09644496
Kulturunternehmen gemeinnützig,Bereichsübergreifend,46300,10500,Ausbezahlt,2020-09-20,2020-11-16,88a350cb
Kulturschaffende,Musik,4400,2200,Ausbezahlt,2020-09-20,2020-11-17,af429e0c
Kulturunternehmen gewinnorientiert,Tanz/Theater,2730800,1517900,Ausbezahlt,2020-09-20,2020-11-10,3b19f2d6
Kulturschaffende,Bereichsübergreifend,35000,10300,Ausbezahlt,2020-09-19,2020-11-25,cfae025b
Kulturunternehmen gemeinnützig,Bereichsübergreifend,100100,72000,Ausbezahlt,2020-09-20,2020-11-16,88a350cb
Kulturunternehmen gewinnorientiert,Musik,214400,46300,Ausbezahlt,2020-09-20,2020-12-14,4d170a28
Kulturunternehmen gewinnorientiert,Musik,22300,7500,Ausbezahlt,2020-09-20,2020-12-02,f2f6c3a0
Kulturschaffende,Musik,4500,7700,Ausbezahlt,2020-09-20,2020-12-08,f62098c6
Kulturunternehmen gemeinnützig,Musik,793100,471700,Ausbezahlt,2020-09-19,2020-11-16,adfd1571
Kulturunternehmen gewinnorientiert,Musik,7700,NA,Ablehnung,2020-09-20,2020-11-04,f2f6c3a0
Kulturunternehmen gemeinnützig,Bildende Kunst,72400,23200,Ausbezahlt,2020-09-20,2020-12-02,5c776cac
Kulturunternehmen gemeinnützig,Tanz/Theater,13700,63200,Ausbezahlt,2020-09-20,2020-12-01,068ccc4f
Kulturschaffende,Musik,5200,5200,Ausbezahlt,2020-09-20,2020-11-25,bf9aa64e
Kulturschaffende,Musik,6500,5200,Ausbezahlt,2020-09-20,2020-11-25,ad253036
Kulturunternehmen gemeinnützig,Musik,119000,21600,Ausbezahlt,2020-09-20,2020-12-14,c8df4569
Kulturschaffende,Musik,1300,400,Ausbezahlt,2020-09-20,2020-11-17,bc1f9ab1
Kulturunternehmen gemeinnützig,Kino,56500,27600,Ausbezahlt,2020-09-20,2020-12-01,4a16b019
Kulturschaffende,Musik,10100,0,Ausbezahlt,2020-09-20,2020-11-09,333338d4
Kulturschaffende,Bereichsübergreifend,4100,5700,Ausbezahlt,2020-09-20,2020-12-01,66157de2
Kulturschaffende,Musik,15000,11700,Ausbezahlt,2020-09-20,2020-11-17,f23bc4c0
Kulturunternehmen gemeinnützig,Musik,51100,38500,Ausbezahlt,2020-09-20,2020-11-10,1af2892f
Kulturunternehmen gewinnorientiert,Film,296000,104000,Ausbezahlt,2020-09-20,2020-12-08,4fdbe8ea
Kulturschaffende,Musik,7400,6200,Ausbezahlt,2020-09-20,2020-11-17,aef01ed5
Kulturschaffende,Design,4500,NA,Ablehnung,2020-09-20,2020-12-02,2ea3f4e6
Kulturschaffende,Design,6200,2500,Ausbezahlt,2020-09-20,2020-12-02,b9263d6d
Kulturunternehmen gewinnorientiert,Kino,134600,35900,Ausbezahlt,2020-09-20,2020-11-25,21c9c6cf
Kulturunternehmen gemeinnützig,Musik,440700,249800,Ausbezahlt,2020-09-20,2020-12-09,c20e8191
Kulturschaffende,Musik,17900,8300,Ausbezahlt,2020-09-20,2020-11-25,b8c11b96
Kulturschaffende,Bildende Kunst,44000,8600,Ausbezahlt,2020-09-20,2020-11-25,ebccd923
Kulturschaffende,Musik,61000,13300,Ausbezahlt,2020-09-20,2020-10-28,b3c96c10
Kulturschaffende,Musik,5900,4700,Ausbezahlt,2020-09-20,2020-11-25,6722c523
Kulturunternehmen gemeinnützig,Tanz/Theater,10800,NA,Ablehnung,2020-09-20,2020-11-26,d0535d23
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,370200,NA,Ablehnung,2020-09-20,2020-11-17,3d3c0a53
Kulturschaffende,Musik,6400,200,Ausbezahlt,2020-09-20,2020-11-25,a16eb877
Kulturunternehmen gewinnorientiert,Musik,16400,14400,Ausbezahlt,2020-09-20,2020-12-08,38b0c2b0
Kulturschaffende,Musik,4800,300,Ausbezahlt,2020-09-20,2020-11-25,da901197
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,164200,30700,Ausbezahlt,2020-09-20,2020-12-15,306dcc72
Kulturschaffende,Musik,3900,2800,Ausbezahlt,2020-09-20,2020-11-25,38e9526c
Kulturunternehmen gewinnorientiert,Musik,1225600,797400,Ausbezahlt,2020-09-20,2020-11-17,8acb55c2
Kulturunternehmen gemeinnützig,Musik,150200,70200,Ausbezahlt,2020-09-20,2020-11-16,8bdcc7aa
Kulturschaffende,Musik,3800,2000,Ausbezahlt,2020-09-21,2020-11-25,5cf46306
Kulturschaffende,Musik,3200,4800,Ausbezahlt,2020-09-21,2020-12-02,d1fa225b
Kulturschaffende,Musik,4700,2800,Ausbezahlt,2020-09-21,2020-12-02,2dcdb689
Kulturschaffende,Tanz/Theater,12100,0,Ausbezahlt,2020-09-21,2020-11-25,41a1275c
Kulturschaffende,Musik,5300,1000,Saldo offen,2020-09-21,2020-12-21,afdfa22d
Kulturunternehmen gemeinnützig,Bereichsübergreifend,13900,14000,Ausbezahlt,2020-09-21,2020-12-08,b7670bd7
Kulturunternehmen gewinnorientiert,Tanz/Theater,17000,4400,Ausbezahlt,2020-09-19,2020-11-17,532c6dde
Kulturschaffende,Bereichsübergreifend,12200,10100,Ausbezahlt,2020-09-19,2020-11-17,e4c677ec
Kulturunternehmen gemeinnützig,Bildende Kunst,129900,46900,Ausbezahlt,2020-09-19,2020-11-24,eeb15222
Kulturunternehmen gewinnorientiert,Kino,88500,9000,Ausbezahlt,2020-09-19,2020-11-25,21c9c6cf
Kulturschaffende,Musik,7400,3500,Ausbezahlt,2020-09-20,2020-11-25,e30a56ee
Kulturschaffende,Musik,32000,21400,Ausbezahlt,2020-09-20,2020-11-25,cba15dc5
Kulturschaffende,Bildende Kunst,6400,4700,Ausbezahlt,2020-09-20,2020-12-02,ed25e21e
Kulturunternehmen gewinnorientiert,Musik,638600,245600,Ausbezahlt,2020-09-20,2020-11-10,8dcf54d4
Kulturschaffende,Musik,2400,0,Ausbezahlt,2020-09-20,2020-11-10,b6d4583d
Kulturunternehmen gemeinnützig,Museen,34600,27100,Ausbezahlt,2020-09-20,2020-12-14,a0a18f0e
Kulturunternehmen gewinnorientiert,Tanz/Theater,142000,74700,Ausbezahlt,2020-09-19,2020-11-17,7214cde3
Kulturschaffende,Musik,87100,NA,Ablehnung,2020-09-20,2020-12-02,8d69d6d4
Kulturschaffende,Musik,4500,3600,Ausbezahlt,2020-09-19,2020-11-17,aec62d3c
Kulturschaffende,Musik,5900,2200,Ausbezahlt,2020-09-20,2020-11-17,0f3a7327
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,1879500,200900,Ausbezahlt,2020-09-19,2020-11-25,d9a36592
Kulturschaffende,Tanz/Theater,98800,5200,Ausbezahlt,2020-09-19,2020-11-17,894e9a03
Kulturschaffende,Film,48700,28800,Ausbezahlt,2020-09-19,2020-12-08,d679d804
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,421200,161300,Ausbezahlt,2020-09-20,2020-12-02,52a1dfe8
Kulturschaffende,Musik,30500,0,Ausbezahlt,2020-09-19,2020-11-24,b047991e
Kulturunternehmen gemeinnützig,Tanz/Theater,10200,8200,Ausbezahlt,2020-09-20,2020-12-08,baefc0ca
Kulturunternehmen gewinnorientiert,Film,120000,78800,Ausbezahlt,2020-09-20,2020-11-17,7d606d4c
Kulturschaffende,Musik,16800,15400,Ausbezahlt,2020-09-20,2020-11-04,aeb02733
Kulturunternehmen gemeinnützig,Musik,38100,NA,Ablehnung,2020-09-19,2020-10-28,74a3a981
Kulturunternehmen gemeinnützig,Musik,81800,45700,Ausbezahlt,2020-09-19,2020-11-03,ec21a647
Kulturunternehmen gewinnorientiert,Musik,402000,NA,Ablehnung,2020-09-19,2020-11-24,5e4bb701
Kulturschaffende,Musik,30500,45600,Ausbezahlt,2020-09-19,2020-11-24,b047991e
Kulturschaffende,Musik,700,500,Ausbezahlt,2020-09-19,2020-11-10,ad8a5801
Kulturschaffende,Musik,7600,NA,Ablehnung,2020-09-19,2020-12-08,0c2e9e43
Kulturunternehmen gewinnorientiert,Musik,26200,16800,Ausbezahlt,2020-09-19,2020-11-25,6d4bab44
Kulturunternehmen gemeinnützig,Bereichsübergreifend,2800,25300,Ausbezahlt,2020-09-20,2020-12-15,8eec03e0
Kulturschaffende,Literatur,6100,0,Ausbezahlt,2020-09-20,2020-12-02,9248e997
Kulturschaffende,Musik,3200,2000,Ausbezahlt,2020-09-19,2020-11-10,9f438146
Kulturschaffende,Musik,1400,1900,Ausbezahlt,2020-09-20,2020-11-25,6371fa13
Kulturschaffende,Musik,38900,14000,Ausbezahlt,2020-09-19,2020-11-26,e22ea3de
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,506400,249100,Ausbezahlt,2020-09-20,2020-11-17,890932ff
Kulturschaffende,Bildende Kunst,2600,NA,Ablehnung,2020-09-20,2020-12-02,ebccd923
Kulturschaffende,Bereichsübergreifend,0,0,Ausbezahlt,2020-09-19,2020-11-17,4d1e677a
Kulturschaffende,Musik,14800,10300,Ausbezahlt,2020-09-20,2020-11-17,01688afb
Kulturunternehmen gemeinnützig,Bildende Kunst,55000,9900,Ausbezahlt,2020-09-19,2020-12-02,fbd6e8b3
Kulturunternehmen gemeinnützig,Klubs und Konzertlokale,0,39900,Ausbezahlt,2020-09-20,2020-11-17,5a7c1e95
Kulturunternehmen gewinnorientiert,Musik,74300,117600,Ausbezahlt,2020-09-20,2020-11-10,0dc89535
Kulturunternehmen gewinnorientiert,Musik,12300,18000,Ausbezahlt,2020-09-20,2020-11-17,748e7289
Kulturunternehmen gewinnorientiert,Musik,132000,99600,Ausbezahlt,2020-09-20,2020-11-25,9b645a1d
Kulturschaffende,Tanz/Theater,4700,3600,Ausbezahlt,2020-09-19,2020-12-08,34ea1b12
Kulturschaffende,Tanz/Theater,3100,0,Ausbezahlt,2020-09-20,2020-12-02,6c3a58e5
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,647300,112600,Ausbezahlt,2020-09-20,2020-12-08,684c0f74
Kulturschaffende,Bereichsübergreifend,10900,1400,Ausbezahlt,2020-09-20,2020-12-02,a596a79c
Kulturunternehmen gemeinnützig,Tanz/Theater,8700,6000,Ausbezahlt,2020-09-19,2020-12-02,2bb0642c
Kulturschaffende,Bildende Kunst,8400,3300,Ausbezahlt,2020-09-20,2020-12-02,70388a91
Kulturunternehmen gemeinnützig,Literatur,72100,52400,Ausbezahlt,2020-09-20,2020-12-01,94c527a2
Kulturschaffende,Tanz/Theater,44000,24900,Ausbezahlt,2020-09-20,2020-11-25,0b44eb2e
Kulturschaffende,Musik,3900,2900,Ausbezahlt,2020-09-20,2020-11-25,bb76fd5f
Kulturunternehmen gewinnorientiert,Musik,17500,13600,Ausbezahlt,2020-09-20,2020-12-02,4c9ab47f
Kulturschaffende,Musik,2800,1900,Ausbezahlt,2020-09-20,2020-11-25,bd205783
Kulturunternehmen gewinnorientiert,Kino,195000,102700,Ausbezahlt,2020-09-20,2020-12-08,becc777f
Kulturschaffende,Musik,4200,3500,Ausbezahlt,2020-09-20,2020-11-25,032a287f
Kulturschaffende,Musik,8800,11800,Ausbezahlt,2020-09-20,2020-11-17,15aab6bf
Kulturschaffende,Musik,3300,3900,Ausbezahlt,2020-09-20,2020-12-02,bbe70dd0
Kulturschaffende,Musik,5300,7400,Ausbezahlt,2020-09-20,2020-11-17,110ebb25
Kulturschaffende,Bildende Kunst,9200,6000,Ausbezahlt,2020-09-20,2020-12-02,92191b17
Kulturunternehmen gemeinnützig,Musik,95400,40900,Ausbezahlt,2020-09-20,2020-11-24,116e1d6f
Kulturschaffende,Musik,53400,11800,Ausbezahlt,2020-09-20,2020-11-03,3eb89c39
Kulturunternehmen gewinnorientiert,Kino,114400,32900,Ausbezahlt,2020-09-20,2020-11-25,51ab96ca
Kulturschaffende,Musik,2600,3100,Ausbezahlt,2020-09-21,2020-12-02,282c661f
Kulturunternehmen gemeinnützig,Tanz/Theater,4800,2400,Ausbezahlt,2020-09-19,2020-12-02,dc0735cc
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,116800,33800,Ausbezahlt,2020-09-19,2020-12-02,9345b5e9
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,418100,44800,Ausbezahlt,2020-09-19,2020-12-02,d06828ff
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,88100,70500,Ausbezahlt,2020-09-19,2020-12-02,d06828ff
Kulturunternehmen gewinnorientiert,Musik,1100,6400,Ausbezahlt,2020-09-19,2020-12-02,3bc16a2f
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,219400,159900,Ausbezahlt,2020-09-19,2020-11-10,90a0af51
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,8700,17000,Ausbezahlt,2020-09-19,2020-11-10,90a0af51
Kulturschaffende,Musik,8100,5000,Ausbezahlt,2020-09-18,2020-11-25,a9e1a72c
Kulturschaffende,Musik,5400,100,Ausbezahlt,2020-09-18,2020-11-25,5de985ce
Kulturunternehmen gewinnorientiert,Film,1319000,397000,Ausbezahlt,2020-09-18,2020-12-15,23d27f6b
Kulturunternehmen gemeinnützig,Musik,2600,8500,Ausbezahlt,2020-09-20,2020-11-17,0cc9b6a6
Kulturunternehmen gemeinnützig,Tanz/Theater,402400,289400,Ausbezahlt,2020-09-18,2020-12-09,d777ce1c
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,9600,2200,Ausbezahlt,2020-09-18,2020-12-08,dc169087
Kulturunternehmen gemeinnützig,Bildende Kunst,15400,49500,Ausbezahlt,2020-09-18,2020-12-02,0ce3df4c
Kulturschaffende,Musik,16600,8800,Ausbezahlt,2020-09-18,2020-11-25,b2164579
Kulturschaffende,Tanz/Theater,7500,5500,Ausbezahlt,2020-09-18,2020-12-02,2a66b507
Kulturunternehmen gemeinnützig,Museen,112700,84200,Ausbezahlt,2020-09-18,2020-11-25,30cf64bf
Kulturschaffende,Musik,21600,9400,Ausbezahlt,2020-09-18,2020-11-25,61a6d366
Kulturunternehmen gewinnorientiert,Musik,52700,0,Ausbezahlt,2020-09-18,2020-11-16,45fbc81c
Kulturschaffende,Design,43400,22500,Ausbezahlt,2020-09-18,2020-11-25,9fbdf275
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,283300,174800,Ausbezahlt,2020-09-18,2020-11-09,ac0ef52f
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,288600,307800,Ausbezahlt,2020-09-18,2020-12-21,65f4fca8
Kulturunternehmen gemeinnützig,Kino,232000,76300,Ausbezahlt,2020-09-18,2020-12-01,cc32a351
Kulturschaffende,Musik,4000,2800,Ausbezahlt,2020-09-18,2020-11-25,6d5bba1d
Kulturunternehmen gewinnorientiert,Film,131500,105200,Ausbezahlt,2020-09-18,2020-11-17,d274730c
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,46400,38700,Ausbezahlt,2020-09-18,2020-11-10,d67edc64
Kulturschaffende,Film,54000,NA,Ablehnung,2020-09-18,2020-11-17,d0f1dbe3
Kulturunternehmen gemeinnützig,Tanz/Theater,67500,36800,Ausbezahlt,2020-09-18,2020-12-01,4ada3315
Kulturunternehmen gemeinnützig,Musik,18000,14400,Ausbezahlt,2020-09-18,2020-11-25,552b9dc6
Kulturschaffende,Film,4700,43900,Ausbezahlt,2020-09-18,2020-12-15,c7153952
Kulturunternehmen gemeinnützig,Tanz/Theater,15800,13700,Ausbezahlt,2020-09-18,2020-12-01,eb4bce4d
Kulturunternehmen gewinnorientiert,Kino,935300,518600,Ausbezahlt,2020-09-18,2020-11-16,5fd1bbe8
Kulturunternehmen gewinnorientiert,Tanz/Theater,49500,19200,Ausbezahlt,2020-09-20,2020-12-02,0d784ce1
Kulturschaffende,Musik,15000,1300,Ausbezahlt,2020-09-20,2020-11-25,5c8ac0ee
Kulturschaffende,Musik,15700,7300,Ausbezahlt,2020-09-20,2020-12-02,63db53db
Kulturunternehmen gewinnorientiert,Film,55100,0,Ausbezahlt,2020-09-18,2020-12-02,399281bf
Kulturschaffende,Tanz/Theater,16600,6400,Ausbezahlt,2020-09-18,2020-12-21,4f75da5e
Kulturschaffende,Tanz/Theater,104500,46200,Ausbezahlt,2020-09-18,2020-11-17,89eaba81
Kulturunternehmen gemeinnützig,Literatur,15600,5100,Ausbezahlt,2020-09-18,2020-12-15,5f725753
Kulturunternehmen gewinnorientiert,Film,153900,58700,Ausbezahlt,2020-09-18,2020-12-02,e9a77837
Kulturunternehmen gewinnorientiert,Musik,502000,NA,Ablehnung,2020-09-18,2020-10-28,03dacce2
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,1355600,42300,Ausbezahlt,2020-09-18,2020-11-24,7b5fa068
Kulturschaffende,Tanz/Theater,25800,7300,Ausbezahlt,2020-09-18,2020-11-17,a24f5a07
Kulturunternehmen gewinnorientiert,Musik,1442200,27900,Ausbezahlt,2020-09-19,2020-11-24,3b34b560
Kulturunternehmen gewinnorientiert,Klubs und Konzertlokale,7800,2600,Ausbezahlt,2020-09-18,2020-12-08,a8beaab4
Kulturschaffende,Tanz/Theater,15200,0,Ausbezahlt,2020-09-18,2020-11-24,a5a94d93
Kulturunternehmen gewinnorientiert,Musik,42800,39000,Ausbezahlt,2020-09-18,2020-12-02,71d0fe7b
Kulturunternehmen gewinnorientiert,Musik,57600,18400,Ausbezahlt,2020-09-18,2020-11-10,c9e7189c
Kulturschaffende,Bereichsübergreifend,12200,7100,Ausbezahlt,2020-09-18,2020-12-02,8888ccb7
Kulturunternehmen gewinnorientiert,Tanz/Theater,436000,406100,Ausbezahlt,2020-09-18,2020-12-08,111fd263
Kulturunternehmen gewinnorientiert,Kino,324900,NA,Ablehnung,2020-09-18,2020-11-10,a96d5ec4
Kulturunternehmen gewinnorientiert,Musik,186400,170100,Ausbezahlt,2020-09-18,2020-11-03,f879756c
Kulturunternehmen gewinnorientiert,Kino,1403900,432300,Ausbezahlt,2020-09-18,2020-12-08,81038ddd
Kulturunternehmen gemeinnützig,Bereichsübergreifend,22000,25400,Ausbezahlt,2020-09-18,2020-11-24,f69fd3ce
Kulturunternehmen gewinnorientiert,Bereichsübergreifend,41000,30200,Ausbezahlt,2020-09-18,2020-12-08,995d926d
