label;nb_visits;nb_hits;nb_hits_with_time_generation;min_time_generation;max_time_generation;sum_time_spent;bounce_count;exit_nb_visits;sum_daily_nb_uniq_visitors;avg_time_on_dimension;bounce_rate;exit_rate;avg_time_generation;Metadata: segment
wms-raster-ubersichtsplan-upwms;11;12;8;8.025;8.271;104;0;4;11;9;0%;36%;1.214;dimension2==wms-raster-ubersichtsplan-upwms
abstimmungsarchiv-des-kantons-zurich;10;17;14;5.131;9.529;644;0;0;10;38;0%;0%;1.066;dimension2==abstimmungsarchiv-des-kantons-zurich
adressen-gis-zh;10;12;7;10.568;11.872;131;2;5;10;11;20%;50%;1.702;dimension2==adressen-gis-zh
denkmalschutzobjekte1;10;14;11;10.867;12.702;379;0;1;10;27;0%;10%;1.391;dimension2==denkmalschutzobjekte1
gebaudebaujahr;10;12;7;8.092;8.095;135;0;4;10;11;0%;40%;1.159;dimension2==gebaudebaujahr
kantonsgrenze;10;19;13;8.87;13.06;381;0;0;10;20;0%;0%;1.399;dimension2==kantonsgrenze
wild-karte;10;12;8;9.446;10.879;389;0;2;10;32;0%;20%;1.362;dimension2==wild-karte
amtliche-vermessung-hoheitsgrenzen-dm01avzh24;9;11;8;8.946;10.287;945;1;3;8;86;11%;33%;1.288;dimension2==amtliche-vermessung-hoheitsgrenzen-dm01avzh24
kantonsstrassen-innerorts-und-ausserorts;9;12;7;4.408;6.4;75;0;3;9;6;0%;33%;0.915;dimension2==kantonsstrassen-innerorts-und-ausserorts
miv-anteil-modal-split;9;12;10;3.948;5.147;48;1;4;9;4;11%;44%;0.517;dimension2==miv-anteil-modal-split
stromanlagen;9;14;8;6.323;6.324;544;0;1;9;39;0%;11%;0.791;dimension2==stromanlagen
wfs-amtliche-vermessung-avwfs;9;11;6;7.83;7.977;1076;1;2;9;98;11%;22%;1.652;dimension2==wfs-amtliche-vermessung-avwfs
wms-amtliche-vermessung-avwms-ogd;9;15;8;8.62;11.652;1007;0;3;9;67;0%;33%;1.459;dimension2==wms-amtliche-vermessung-avwms-ogd
wms-digitales-hohenmodell-ogd;9;11;7;9.323;11.223;230;0;1;9;21;0%;11%;1.853;dimension2==wms-digitales-hohenmodell-ogd
bevolkerung-anteil-65-79-jahrige;8;9;6;7.748;7.748;94;0;0;8;10;0%;0%;1.291;dimension2==bevolkerung-anteil-65-79-jahrige
historische-gemeindegrenzen;8;11;6;13.405;13.405;254;0;1;8;23;0%;13%;2.234;dimension2==historische-gemeindegrenzen
offentliche-oberflachengewasser;8;9;7;8.531;9.928;1117;0;1;8;124;0%;13%;1.419;dimension2==offentliche-oberflachengewasser
orthofoto-sommer-rgb-2014-15;8;8;4;4.282;4.282;43;1;3;8;5;13%;38%;1.071;dimension2==orthofoto-sommer-rgb-2014-15
steuerb-einkommen-naturl-pers-durchschn-fr;8;13;7;8.745;11.142;505;0;1;8;39;0%;13%;1.907;dimension2==steuerb-einkommen-naturl-pers-durchschn-fr
aerzte-anz;7;8;4;6.973;6.973;232;0;0;7;29;0%;0%;1.743;dimension2==aerzte-anz
finanzvermogen-fr-einw;7;8;6;10.159;12.53;50;0;2;6;6;0%;29%;2.089;dimension2==finanzvermogen-fr-einw
nrw-wahleranteil-svp;7;8;7;7.001;10.44;38;0;0;7;5;0%;0%;1.798;dimension2==nrw-wahleranteil-svp
stromnetzgebiete;7;13;8;4.914;9.408;880;0;1;7;68;0%;14%;1.586;dimension2==stromnetzgebiete
wfs-strassennetz;7;8;7;8.808;11.289;444;0;1;7;56;0%;14%;1.615;dimension2==wfs-strassennetz
arbeitslose-anz;6;6;3;5.103;5.103;1185;0;0;6;198;0%;0%;1.701;dimension2==arbeitslose-anz
av-kmaf-abstandslinien-eigentumsbeschrankungen-zh;6;14;7;3.486;6.014;1083;0;0;6;77;0%;0%;1.53;dimension2==av-kmaf-abstandslinien-eigentumsbeschrankungen-zh
av-kmaf-nutzungsplanung-eigentumsbeschrankungen-zh;6;7;3;4.437;4.947;100;0;1;6;14;0%;17%;2.119;dimension2==av-kmaf-nutzungsplanung-eigentumsbeschrankungen-zh
bauinvestitionen-mio-fr;6;8;6;0.041;0.047;112;0;1;6;14;0%;17%;0.008;dimension2==bauinvestitionen-mio-fr
baulandpreis-median-fr-m2;6;9;4;1.991;1.991;108;0;1;6;12;0%;17%;0.498;dimension2==baulandpreis-median-fr-m2
baulandpreis-modell-75-quantil-fr-m2;6;9;3;5.239;5.239;61;0;2;4;7;0%;33%;1.746;dimension2==baulandpreis-modell-75-quantil-fr-m2
echtzeitdaten-am-abstimmungstag;6;7;6;8.774;10.444;35;1;2;6;5;17%;33%;1.742;dimension2==echtzeitdaten-am-abstimmungstag
gemeindegrenzen-fur-a4-darstellungen;6;6;3;5.2;5.2;131;0;1;6;22;0%;17%;1.733;dimension2==gemeindegrenzen-fur-a4-darstellungen
kataster-der-belasteten-standorte-kbs;6;12;8;5.05;7.423;386;0;1;6;32;0%;17%;1.772;dimension2==kataster-der-belasteten-standorte-kbs
sozialhilfequote;6;8;4;1.629;1.629;49;1;2;6;6;17%;33%;0.407;dimension2==sozialhilfequote
steuerkraft-pro-kopf-fr;6;9;8;4.06;6.854;235;2;4;5;26;33%;67%;0.861;dimension2==steuerkraft-pro-kopf-fr
wfs-denkmalschutzobjekte;6;8;3;5.047;5.047;103;0;1;6;13;0%;17%;1.682;dimension2==wfs-denkmalschutzobjekte
wfs-gemeindegrenzen-1-5000;6;8;3;4.985;4.985;110;0;0;6;14;0%;0%;1.662;dimension2==wfs-gemeindegrenzen-1-5000
anteil-grundsteuern-am-steuerertrag;5;6;2;4.576;4.576;74;0;1;5;12;0%;20%;2.288;dimension2==anteil-grundsteuern-am-steuerertrag
anteil-verkehrsflache;5;6;4;4.292;4.292;131;2;3;5;22;40%;60%;1.073;dimension2==anteil-verkehrsflache
bevolkerung-anteil-0-14-jahrige;5;8;3;3.586;3.586;364;0;0;5;46;0%;0%;1.195;dimension2==bevolkerung-anteil-0-14-jahrige
generalisierte-gemeindegrenzen;5;5;4;8.026;8.026;42;0;0;5;8;0%;0%;2.007;dimension2==generalisierte-gemeindegrenzen
haupt-und-nebenstrassen;5;6;2;2.191;2.191;79;0;1;5;13;0%;20%;1.096;dimension2==haupt-und-nebenstrassen
hinweisflachen-fur-anthropogene-boden;5;5;2;1.109;1.109;1315;0;1;5;263;0%;20%;0.555;dimension2==hinweisflachen-fur-anthropogene-boden
inventar-der-geologischen-und-geomorphologischen-objekte-des-kantons-zurich-1975-80;5;6;3;4.595;4.595;41;0;2;5;7;0%;40%;1.532;dimension2==inventar-der-geologischen-und-geomorphologischen-objekte-des-kantons-zurich-1975-80
inventar-der-natur-und-landschaftsschutzgebiete-von-uberkommunaler-bedeutung;5;12;4;1.506;1.509;578;1;2;5;48;20%;40%;0.379;dimension2==inventar-der-natur-und-landschaftsschutzgebiete-von-uberkommunaler-bedeutung
isohypsen-dtm;5;6;4;6.141;6.141;50;2;3;5;8;40%;60%;1.535;dimension2==isohypsen-dtm
krw-wahleranteil-svp;5;9;5;7.453;7.743;153;0;0;5;17;0%;0%;2.51;dimension2==krw-wahleranteil-svp
landwirtschaftliche-nutzflache-ha;5;10;8;5.74;9.479;103;0;0;5;10;0%;0%;1.42;dimension2==landwirtschaftliche-nutzflache-ha
luftbilder-zh-1981-2000;5;16;3;2.002;2.687;688;0;1;5;43;0%;20%;2.325;dimension2==luftbilder-zh-1981-2000
neuerstellte-wohnungen-whg;5;7;4;5.824;8.483;354;0;0;5;51;0%;0%;2.128;dimension2==neuerstellte-wohnungen-whg
nrw-wahleranteil-sd;5;6;4;1.515;6.893;50;0;0;5;8;0%;0%;2.233;dimension2==nrw-wahleranteil-sd
schuler-sekundarstufe-i-pers-pro-1000-einw;5;6;4;3.243;3.243;30;0;0;5;5;0%;0%;0.811;dimension2==schuler-sekundarstufe-i-pers-pro-1000-einw
wcs-orthophotos-kantons-zurich;5;6;3;4.824;4.824;117;0;1;5;20;0%;20%;1.608;dimension2==wcs-orthophotos-kantons-zurich
wms-velonetz;5;5;4;1.902;1.902;182;0;2;5;36;0%;40%;0.476;dimension2==wms-velonetz
anteil-der-naturl-pers-am-steuerertrag;4;5;4;9.658;9.658;48;0;1;4;10;0%;25%;2.415;dimension2==anteil-der-naturl-pers-am-steuerertrag
apotheken-pro-1000-einw;4;5;2;3.016;3.016;12;0;1;4;2;0%;25%;1.508;dimension2==apotheken-pro-1000-einw
baustellen-kantonsstrassen;4;4;2;4.146;4.146;42;0;1;4;11;0%;25%;2.073;dimension2==baustellen-kantonsstrassen
flache-ha;4;6;4;4.226;6.001;124;0;1;4;21;0%;25%;1.503;dimension2==flache-ha
gewasserraum;4;5;3;5.564;5.564;138;1;1;4;28;25%;25%;1.855;dimension2==gewasserraum
krw-wahleranteil-glp;4;4;2;4.399;4.399;34;0;0;4;9;0%;0%;2.2;dimension2==krw-wahleranteil-glp
leerwohnungsquote;4;5;3;2.971;2.971;27;0;0;4;5;0%;0%;0.99;dimension2==leerwohnungsquote
oreb-kataster-abstandslinien-offentlich-rechtliche-eigentumsbeschrankungen;4;5;3;0.022;0.032;34;0;2;4;7;0%;50%;0.012;dimension2==oreb-kataster-abstandslinien-offentlich-rechtliche-eigentumsbeschrankungen
prufperimeter-fur-bodenverschiebungen-pbv;4;5;4;2.952;3.041;196;1;1;4;39;25%;25%;1.091;dimension2==prufperimeter-fur-bodenverschiebungen-pbv
relief-digitales-oberflachenmodell;4;6;6;3.064;5.617;261;0;1;4;44;0%;25%;0.937;dimension2==relief-digitales-oberflachenmodell
restaurants-anz;4;5;1;2.605;2.605;78;0;0;4;16;0%;0%;2.605;dimension2==restaurants-anz
restaurants-pro-1000-einwohner-anz;4;4;4;9.672;9.672;0;4;4;4;0;100%;100%;2.418;dimension2==restaurants-pro-1000-einwohner-anz
revitalisierungsplanung-offentliche-fliessgewasser;4;4;0;0;0;80;0;1;4;20;0%;25%;0;dimension2==revitalisierungsplanung-offentliche-fliessgewasser
schweizmobil-routen;4;4;2;1.605;1.605;19;0;2;4;5;0%;50%;0.803;dimension2==schweizmobil-routen
steuerkraft-pro-kopf-arith-mittel-3-jh-fr;4;4;4;6.629;6.629;37;0;0;4;9;0%;0%;1.657;dimension2==steuerkraft-pro-kopf-arith-mittel-3-jh-fr
verkaufe-von-unbebautem-land-anz;4;6;6;3.868;5.3;78;0;0;4;13;0%;0%;1.563;dimension2==verkaufe-von-unbebautem-land-anz
wahlbeteiligung-nationalrat;4;5;4;3.125;4.925;12;0;0;4;2;0%;0%;1.234;dimension2==wahlbeteiligung-nationalrat
waldeigentum;4;5;4;0.003;2.552;895;0;1;4;179;0%;25%;0.639;dimension2==waldeigentum
wfs-verkehrsmessstellen;4;7;4;0.027;0.033;37;1;1;4;5;25%;25%;0.009;dimension2==wfs-verkehrsmessstellen
wms-denkmalschutzobjekte;4;8;4;2.031;2.602;82;0;0;4;10;0%;0%;0.734;dimension2==wms-denkmalschutzobjekte
wms-risikokarte-hochwasser;4;5;4;2.508;4.211;65;1;1;4;13;25%;25%;1.054;dimension2==wms-risikokarte-hochwasser
wms-waldareal;4;6;2;0.122;0.122;53;0;0;4;9;0%;0%;0.061;dimension2==wms-waldareal
zahnarzte-pro-1000-einw;4;5;4;4.895;6.094;35;0;0;4;7;0%;0%;1.525;dimension2==zahnarzte-pro-1000-einw
amtliche-vermessung-fixpunkte-dm01avzh24;3;6;2;1.64;2.839;62;0;0;3;10;0%;0%;2.24;dimension2==amtliche-vermessung-fixpunkte-dm01avzh24
amtliche-vermessung-rohrleitungen-dm01avzh24;3;5;3;2.187;3.87;123;0;1;3;25;0%;33%;1.295;dimension2==amtliche-vermessung-rohrleitungen-dm01avzh24
apotheken-anz;3;4;2;4.571;4.571;5;0;1;3;1;0%;33%;2.286;dimension2==apotheken-anz
archaologische-zonenplane;3;3;1;1.87;1.87;19;0;0;3;6;0%;0%;1.87;dimension2==archaologische-zonenplane
inventar-der-waldstandorte-von-naturkundlicher-bedeutung-wnb;3;3;2;3.719;3.719;80;0;1;3;27;0%;33%;1.86;dimension2==inventar-der-waldstandorte-von-naturkundlicher-bedeutung-wnb
jagdreviergrenzen;3;4;2;1.435;1.435;19;0;1;3;5;0%;33%;0.718;dimension2==jagdreviergrenzen
krw-wahleranteil-evp;3;3;2;4.172;4.172;9;1;1;3;3;33%;33%;2.086;dimension2==krw-wahleranteil-evp
lebensraum-und-vegetationskartierungen;3;4;2;3.195;3.195;11;0;1;3;3;0%;33%;1.598;dimension2==lebensraum-und-vegetationskartierungen
leerwohnungen-total-anz;3;4;3;3.428;3.428;25;0;0;3;6;0%;0%;1.143;dimension2==leerwohnungen-total-anz
mikrobetriebe-0-9-vza-anz;3;4;3;1.404;3.448;73;0;0;3;18;0%;0%;1.152;dimension2==mikrobetriebe-0-9-vza-anz
mittlere-betriebe-50-249-vza-anz;3;4;3;1.956;1.956;16;0;0;3;4;0%;0%;0.652;dimension2==mittlere-betriebe-50-249-vza-anz
naturgefahrenkarte;3;3;2;1.733;1.733;96;0;0;3;32;0%;0%;0.867;dimension2==naturgefahrenkarte
risikokarte-naturgefahren;3;4;3;1.399;2.971;136;0;0;3;34;0%;0%;0.991;dimension2==risikokarte-naturgefahren
steuerb-einkommen-naturl-pers-25-quantil-fr;3;4;2;4.717;4.717;31;0;0;3;8;0%;0%;2.359;dimension2==steuerb-einkommen-naturl-pers-25-quantil-fr
tagfalter-inventar-des-kantons-zurich-1992;3;3;2;4.049;4.049;109;0;0;3;36;0%;0%;2.025;dimension2==tagfalter-inventar-des-kantons-zurich-1992
vza-im-primarsektor-anz;3;4;3;2.246;4.341;41;0;1;3;10;0%;33%;1.45;dimension2==vza-im-primarsektor-anz
waldareal;3;4;2;1.592;2.231;18;1;2;3;5;33%;67%;1.912;dimension2==waldareal
wfs-awel-wasserbauthemen;3;3;1;0.014;0.014;108;0;1;3;36;0%;33%;0.014;dimension2==wfs-awel-wasserbauthemen
wfs-gewasserschutzkarte;3;4;2;0.065;0.065;282;0;0;3;71;0%;0%;0.033;dimension2==wfs-gewasserschutzkarte
wms-archaologische-zonen;3;4;3;2.451;5.749;67;0;0;3;17;0%;0%;1.918;dimension2==wms-archaologische-zonen
wms-inventar-der-waldstandorte-von-naturkundlicher-bedeutung-wnb;3;4;1;0.004;0.004;15;0;1;3;4;0%;33%;0.004;dimension2==wms-inventar-der-waldstandorte-von-naturkundlicher-bedeutung-wnb
wms-lebensraum-und-vegetationskartierungen-kanton-zurich;3;4;2;5.925;5.925;33;0;1;3;8;0%;33%;2.963;dimension2==wms-lebensraum-und-vegetationskartierungen-kanton-zurich
wms-naturgefahrenkarte-ogd;3;3;2;1.869;1.869;33;0;1;3;11;0%;33%;0.935;dimension2==wms-naturgefahrenkarte-ogd
wms-orthofoto-zh-1981-ogd;3;5;1;2.549;2.549;356;0;0;3;71;0%;0%;2.549;dimension2==wms-orthofoto-zh-1981-ogd
wms-orthofoto-zh-ogd;3;4;4;0.015;3.21;50;2;2;3;13;67%;67%;0.806;dimension2==wms-orthofoto-zh-ogd
wms-situationsplan-ogd;3;3;2;3.008;3.008;13;0;1;3;4;0%;33%;1.504;dimension2==wms-situationsplan-ogd
wms-strassennetz-haupt-und-nebenstrassen;3;3;2;4.065;4.065;114;1;1;3;38;33%;33%;2.033;dimension2==wms-strassennetz-haupt-und-nebenstrassen
wms-strassennetz-strassentypisierung-nach-richtplan;3;4;3;2.288;3.793;148;0;0;3;37;0%;0%;1.269;dimension2==wms-strassennetz-strassentypisierung-nach-richtplan
wms-vegetationskundliche-kartierung-der-walder-im-kanton-zurich;3;4;2;1.591;2.283;68;0;1;3;17;0%;33%;1.937;dimension2==wms-vegetationskundliche-kartierung-der-walder-im-kanton-zurich
aerzte-pro-1000-einw;2;2;2;6.371;6.371;60;0;0;2;30;0%;0%;3.186;dimension2==aerzte-pro-1000-einw
anteil-gk-a;2;3;3;1.404;3.33;17;0;0;2;6;0%;0%;1.111;dimension2==anteil-gk-a
anteil-landwirtschaftsflache;2;3;3;1.863;3.704;28;1;1;2;9;50%;50%;1.237;dimension2==anteil-landwirtschaftsflache
anteil-waldflache;2;2;2;4.054;4.054;32;0;0;2;16;0%;0%;2.027;dimension2==anteil-waldflache
arbeitslosenanteil-an-bevolkerung-15-64-jahre;2;3;3;3.579;4.347;20;0;0;2;7;0%;0%;2.067;dimension2==arbeitslosenanteil-an-bevolkerung-15-64-jahre
arbeitsstatten-im-primarsektor-anz;2;2;2;3.656;3.656;6;0;0;2;3;0%;0%;1.828;dimension2==arbeitsstatten-im-primarsektor-anz
arten-der-trockenstandorte-tww-1974-1976;2;2;2;1.532;1.532;43;0;0;2;22;0%;0%;0.766;dimension2==arten-der-trockenstandorte-tww-1974-1976
bauinv-wohnen-fr-einw;2;3;1;0.005;0.005;5;0;1;2;2;0%;50%;0.005;dimension2==bauinv-wohnen-fr-einw
bauinvestitionen-fr-einw;2;3;1;0.005;0.005;104;0;0;2;35;0%;0%;0.005;dimension2==bauinvestitionen-fr-einw
baulandpreis-arithm-mittel-fr-m2;2;2;1;1.735;1.735;41;0;0;2;21;0%;0%;1.735;dimension2==baulandpreis-arithm-mittel-fr-m2
bauzonen-ha;2;2;1;3.04;3.04;28;0;0;2;14;0%;0%;3.04;dimension2==bauzonen-ha
bevolkerung-anteil-15-19-jahrige;2;3;1;0.008;0.008;217;0;0;2;72;0%;0%;0.008;dimension2==bevolkerung-anteil-15-19-jahrige
bevolkerung-anteil-20-39-jahrige;2;3;1;0.006;0.006;43;0;0;2;14;0%;0%;0.006;dimension2==bevolkerung-anteil-20-39-jahrige
bevolkerung-anteil-40-64-jahrige;2;3;1;0.008;0.008;62;0;0;2;21;0%;0%;0.008;dimension2==bevolkerung-anteil-40-64-jahrige
bevolkerung-anteil-80-u-m-jahrige;2;8;2;0.006;0.008;90;0;1;2;11;0%;50%;0.007;dimension2==bevolkerung-anteil-80-u-m-jahrige
digitales-oberflachenmodell-dom;2;3;1;1.506;1.506;10;0;1;2;3;0%;50%;1.506;dimension2==digitales-oberflachenmodell-dom
durchschnittliche-haushaltsgrosse-pers;2;2;2;4.606;4.606;20;0;0;2;10;0%;0%;2.303;dimension2==durchschnittliche-haushaltsgrosse-pers
forstkreise;2;3;1;2.261;2.261;26;0;0;2;9;0%;0%;2.261;dimension2==forstkreise
fruchtfolgeflachen;2;3;1;0.004;0.004;27;0;0;2;9;0%;0%;0.004;dimension2==fruchtfolgeflachen
gebaudevolumen-1000-m3;2;2;1;2.328;2.328;8;0;1;2;4;0%;50%;2.328;dimension2==gebaudevolumen-1000-m3
gewasserschutzbereiche;2;2;2;4.164;4.164;16;1;1;2;8;50%;50%;2.082;dimension2==gewasserschutzbereiche
krw-wahleranteil-al;2;2;1;2.777;2.777;89;0;0;2;45;0%;0%;2.777;dimension2==krw-wahleranteil-al
krw-wahleranteil-bdp;2;2;1;2.11;2.11;6;0;0;2;3;0%;0%;2.11;dimension2==krw-wahleranteil-bdp
krw-wahleranteil-cvp;2;2;1;1.928;1.928;4;0;0;2;2;0%;0%;1.928;dimension2==krw-wahleranteil-cvp
krw-wahleranteil-edu;2;2;1;1.784;1.784;38;0;0;2;19;0%;0%;1.784;dimension2==krw-wahleranteil-edu
krw-wahleranteil-fdp;2;2;1;2.888;2.888;5;0;0;2;3;0%;0%;2.888;dimension2==krw-wahleranteil-fdp
krw-wahleranteil-gp;2;2;1;1.826;1.826;78;0;0;2;39;0%;0%;1.826;dimension2==krw-wahleranteil-gp
krw-wahleranteil-sd;2;2;1;1.779;1.779;5;0;0;2;3;0%;0%;1.779;dimension2==krw-wahleranteil-sd
krw-wahleranteil-sp;2;2;1;1.794;1.794;10;0;0;2;5;0%;0%;1.794;dimension2==krw-wahleranteil-sp
lichte-walder;2;2;2;5.772;5.772;118;0;0;2;59;0%;0%;2.886;dimension2==lichte-walder
miv-wege-quell-ziel-und-binnenverkehr-anz;2;2;2;4.342;4.342;17;0;0;2;9;0%;0%;2.171;dimension2==miv-wege-quell-ziel-und-binnenverkehr-anz
miv-wege-quell-zielverkehr-anz;2;2;2;4.717;4.717;0;1;2;2;0;50%;100%;2.359;dimension2==miv-wege-quell-zielverkehr-anz
motorfahrzeuge-pro-1000-einwohner-anz;2;2;2;3.696;3.696;18;0;0;2;9;0%;0%;1.848;dimension2==motorfahrzeuge-pro-1000-einwohner-anz
nrw-wahleranteil-al;2;2;1;2.211;2.211;4;0;0;2;2;0%;0%;2.211;dimension2==nrw-wahleranteil-al
nrw-wahleranteil-bdp;2;2;1;2.624;2.624;4;0;0;2;2;0%;0%;2.624;dimension2==nrw-wahleranteil-bdp
nrw-wahleranteil-cvp;2;2;1;1.929;1.929;4;0;0;2;2;0%;0%;1.929;dimension2==nrw-wahleranteil-cvp
nrw-wahleranteil-edu;2;2;1;1.951;1.951;10;0;0;2;5;0%;0%;1.951;dimension2==nrw-wahleranteil-edu
nrw-wahleranteil-evp;2;4;2;1.85;2.003;11;0;0;2;3;0%;0%;1.927;dimension2==nrw-wahleranteil-evp
nrw-wahleranteil-fdp;2;2;1;1.933;1.933;3;0;0;2;2;0%;0%;1.933;dimension2==nrw-wahleranteil-fdp
nrw-wahleranteil-glp;2;2;1;1.906;1.906;5;0;0;2;3;0%;0%;1.906;dimension2==nrw-wahleranteil-glp
nrw-wahleranteil-gp;2;2;1;1.925;1.925;4;0;0;2;2;0%;0%;1.925;dimension2==nrw-wahleranteil-gp
nrw-wahleranteil-sp;2;3;2;1.746;2.137;8;0;0;2;3;0%;0%;1.942;dimension2==nrw-wahleranteil-sp
orthofoto-tosstal;2;2;1;2.653;2.653;3;0;1;2;2;0%;50%;2.653;dimension2==orthofoto-tosstal
raster-ubersichtsplan;2;2;1;1.858;1.858;56;0;0;2;28;0%;0%;1.858;dimension2==raster-ubersichtsplan
scheidungen-anz;2;2;1;2.138;2.138;16;0;0;2;8;0%;0%;2.138;dimension2==scheidungen-anz
scheidungen-pro-1000-einw;2;2;2;3.62;3.62;18;0;0;2;9;0%;0%;1.81;dimension2==scheidungen-pro-1000-einw
schul-primarschule-pro-1000-einw;2;2;2;5.703;5.703;15;0;0;2;8;0%;0%;2.852;dimension2==schul-primarschule-pro-1000-einw
schutzwald;2;2;1;0.021;0.021;145;0;0;2;73;0%;0%;0.021;dimension2==schutzwald
steuerb-vermogen-naturl-pers-durchschn-fr;2;3;2;0.01;0.01;16;0;0;2;5;0%;0%;0.005;dimension2==steuerb-vermogen-naturl-pers-durchschn-fr
steuerb-vermogen-naturl-pers-median-fr;2;3;3;1.742;3.592;8;0;0;2;3;0%;0%;1.199;dimension2==steuerb-vermogen-naturl-pers-median-fr
vegetationskundliche-kartierung-der-walder-waldvegetationskarte;2;3;2;1.144;1.149;7;0;1;2;2;0%;50%;1.147;dimension2==vegetationskundliche-kartierung-der-walder-waldvegetationskarte
verkaufe-efh-anz;2;3;3;1.723;3.71;8;0;0;2;3;0%;0%;1.241;dimension2==verkaufe-efh-anz
wahlbeteiligung-kantonsrat;2;2;1;2.517;2.517;4;0;0;2;2;0%;0%;2.517;dimension2==wahlbeteiligung-kantonsrat
warme;2;2;2;2.97;2.97;278;0;0;2;139;0%;0%;1.485;dimension2==warme
weg-zur-nachsten-haltestelle-m;2;2;2;0.066;0.066;39;0;0;2;20;0%;0%;0.033;dimension2==weg-zur-nachsten-haltestelle-m
wfs-energiethemen;2;2;1;1.478;1.478;69;0;0;2;35;0%;0%;1.478;dimension2==wfs-energiethemen
wfs-feinstaub-pm10-immissionen;2;2;2;7.07;7.07;0;2;2;2;0;100%;100%;3.535;dimension2==wfs-feinstaub-pm10-immissionen
windpotenzial;2;3;3;1.508;4.07;20;0;1;2;7;0%;50%;1.372;dimension2==windpotenzial
wms-beleuchtung;2;2;1;1.818;1.818;54;0;0;2;27;0%;0%;1.818;dimension2==wms-beleuchtung
wms-der-objekte-lichte-walder-kanton-zurich;2;2;1;0.051;0.051;17;0;0;2;9;0%;0%;0.051;dimension2==wms-der-objekte-lichte-walder-kanton-zurich
