0,1
Wie viel 2-Personenhaushalte  hat  in Bezirk Zürich  ?,"{'entities': [(37, 45, 'GRAN')]}"
Welches ist das 2-Personenhaushalte   im Kanton Zürich ?,"{'entities': [(40, 48, 'GRAN')]}"
Was ist der Anteil an Anteil 5-Personenhaushalte   im Kanton Zürich ?,"{'entities': [(53, 61, 'GRAN')]}"
Was ist der Anteil an Anteil 6 und mehr Personenhaushalte   Thalheim a.d.Th. und Hinwil ?,{'entities': []}
"Wie viel Nettoaufwand Kultur, Sport und Freizeit  hat  in Bauma (bis 2014)  ?",{'entities': []}
"Welches ist das Nettoaufwand Kultur, Sport und Freizeit   in Elgg (bis 2017) ?",{'entities': []}
Wie viel Bevölkerung: Frauen  hat  Truttikon  ?,{'entities': []}
"Welches ist das Bevölkerung: Frauen   Adlikon, Region Weinland und Unterengstringen ?",{'entities': []}
Wie viel Steuerertrag allgemeine Gemeindesteuern  hat  in Region Winterthur u. Umg.  ?,{'entities': []}
Welches ist das Steuerertrag allgemeine Gemeindesteuern   pro Gemeinde ?,"{'entities': [(62, 71, 'GRAN')]}"
Wie viel Ertrags- (+) / Aufwandüberschuss (-)  hat  in Oberweningen  ?,{'entities': []}
Welches ist das Ertrags- (+) / Aufwandüberschuss (-)   in Adlikon ?,{'entities': []}
Wie viel Reformierte Kirchensteuerpflichtige  hat  im Kanton Zürich  ?,"{'entities': [(53, 61, 'GRAN')]}"
Welches ist das Reformierte Kirchensteuerpflichtige   Oberrieden und Horgen (bis 2017) ?,{'entities': []}
Was ist der Anteil an Gesamtsteuerfuss (ohne Kirchen)   in Weiningen ?,{'entities': []}
Was ist der Anteil an Neuzulassungen  Hybridantrieb   in Weiningen ?,{'entities': []}
Was ist der Anteil an Neuzulassungen  Dieselmotor   für alle Bezirke ?,"{'entities': [(60, 69, 'GRAN')]}"
Wie viel Weg zur nächsten Haltestelle  hat  in Bezirk Pfäffikon  ?,"{'entities': [(46, 54, 'GRAN')]}"
Welches ist das Weg zur nächsten Haltestelle   pro Gemeinde ?,"{'entities': [(51, 60, 'GRAN')]}"
Wie viel Steuerertrag von juristischen Personen  hat  in Bezirk Dietikon  ?,"{'entities': [(56, 64, 'GRAN')]}"
"Welches ist das Steuerertrag von juristischen Personen   Wasterkingen, Birmensdorf und Opfikon ?",{'entities': []}
Wie viel Gebäudevolumen  hat  für alle Gemeinden  ?,"{'entities': [(38, 49, 'GRAN')]}"
Welches ist das Gebäudevolumen   für den gesamten Kanton ?,"{'entities': [(49, 57, 'GRAN')]}"
Wie viel Rinderviehbestand  hat  pro Gemeinde  ?,"{'entities': [(37, 46, 'GRAN')]}"
Welches ist das Rinderviehbestand   für den gesamten Kanton ?,"{'entities': [(52, 60, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Nebengebäude: Zunahme   in Bezirk Pfäffikon ?,"{'entities': [(57, 65, 'GRAN')]}"
Wie viel Zahnärzte  hat  pro Bezirk  ?,"{'entities': [(28, 36, 'GRAN')]}"
Welches ist das Zahnärzte   pro Gemeinde ?,"{'entities': [(32, 41, 'GRAN')]}"
Wie viel Selbstfinanzierung  hat  für den gesamten Kanton  ?,"{'entities': [(50, 58, 'GRAN')]}"
Welches ist das Selbstfinanzierung   in Niederglatt ?,{'entities': []}
Wie viel Schül. Mittelschule  hat  auf Bezirksebene  ?,"{'entities': [(38, 52, 'GRAN')]}"
Welches ist das Schül. Mittelschule   Wasterkingen und Hinwil ?,{'entities': []}
Wie viel Schül. Oberstufe  hat  in Boppelsen  ?,{'entities': []}
Welches ist das Schül. Oberstufe   Dielsdorf und Region Weinland ?,{'entities': []}
"Was ist der Anteil an 15-Jahresverbrauch    Hettlingen, Hütten (bis 2018) und Schöfflisdorf ?",{'entities': []}
Was ist der Anteil an Bauzonen nicht überbaut    in Trüllikon ?,{'entities': []}
"Wie viel Bauinv. Dienstl. 5 Jahre  hat  Dinhard, Küsnacht und Uetikon a.S.  ?",{'entities': []}
Welches ist das Bauinv. Dienstl. 5 Jahre   in Mettmenstetten ?,{'entities': []}
"Wie viel Bauinv. Strassen, PP 5 Jahre  hat  in Schöfflisdorf  ?",{'entities': []}
"Welches ist das Bauinv. Strassen, PP 5 Jahre   auf Bezirksebene ?","{'entities': [(50, 64, 'GRAN')]}"
"Wie viel Schül. Oberstufe  hat  Bäretswil, Schlatt und Schwerzenbach  ?",{'entities': []}
Welches ist das Schül. Oberstufe   auf Gemeindeebene ?,"{'entities': [(38, 53, 'GRAN')]}"
Was ist der Anteil an Anteil jur. Pers. an allg. Gemeindesteuern   pro Bezirk ?,"{'entities': [(70, 78, 'GRAN')]}"
Wie viel Geburten  hat  pro Gemeinde  ?,"{'entities': [(28, 37, 'GRAN')]}"
Welches ist das Geburten   Langnau a.A. ?,{'entities': []}
Wie viel Höhe  hat  Dorf  INDIKATOR_VALUE?,{'entities': []}
"Welches ist das Höhe   Turbenthal, Dürnten und Dachsen ?",{'entities': []}
Was ist der Anteil an KRW Wähleranteil SVP   für alle Bezirke ?,"{'entities': [(53, 62, 'GRAN')]}"
Wie viel Kühe  hat  auf Bezirksebene  ?,"{'entities': [(23, 37, 'GRAN')]}"
Welches ist das Kühe   Egg und Affoltern a.A. ?,{'entities': []}
Wie viel Bevölkerung: Heimat Ausland  hat  pro Gemeinde  ?,"{'entities': [(47, 56, 'GRAN')]}"
Welches ist das Bevölkerung: Heimat Ausland   in Volken ?,{'entities': []}
Wie viel Steuerbares Einkommen natürliche Pers.  hat  in Opfikon  ?,{'entities': []}
Welches ist das Steuerbares Einkommen natürliche Pers.   Marthalen ?,{'entities': []}
"Wie viel Schül. Primarschule  hat  Nürensdorf, Volken und Bezirk Pfäffikon  ?","{'entities': [(57, 65, 'GRAN')]}"
Welches ist das Schül. Primarschule   in Volketswil ?,{'entities': []}
Was ist der Anteil an KRW Wähleranteil AL   in Laufen-Uhwiesen ?,{'entities': []}
"Wie viel Bevölkerung: Heimat Schweiz  hat  Elsau, Region Zimmerberg und Winterthur  ?",{'entities': []}
Welches ist das Bevölkerung: Heimat Schweiz   Freienstein-Teufen und Buch a.I. ?,{'entities': []}
Wie viel Bevölkerung: Durchschnittsalter  hat  in Trüllikon  ?,{'entities': []}
"Welches ist das Bevölkerung: Durchschnittsalter   Volketswil, Winkel und Urdorf ?",{'entities': []}
Wie viel Baulandpreis (Median)  hat  Rüti  ?,{'entities': []}
Welches ist das Baulandpreis (Median)   für alle Gemeinden ?,"{'entities': [(48, 59, 'GRAN')]}"
Was ist der Anteil an Arbeitslosenanteil an Bevölkerung 15-64 Jahre   pro Bezirk ?,"{'entities': [(73, 81, 'GRAN')]}"
Was ist der Anteil an Anteil 1-Personenhaushalte   Region Unterland ?,{'entities': []}
Wie viel Schül. Kindergarten  hat  Trüllikon und Bezirk Dielsdorf  ?,"{'entities': [(48, 56, 'GRAN')]}"
Welches ist das Schül. Kindergarten   auf Bezirksebene ?,"{'entities': [(41, 55, 'GRAN')]}"
Wie viel 5-Personenhaushalte  hat  Elsau und Dorf  ?,{'entities': []}
Welches ist das 5-Personenhaushalte   im Kanton Zürich ?,"{'entities': [(40, 48, 'GRAN')]}"
"Wie viel 6 und mehr Personenhaushalte  hat  Obfelden, Schönenberg (bis 2018) und Sternenberg (bis 2014)  ?",{'entities': []}
Welches ist das 6 und mehr Personenhaushalte   in Höri ?,{'entities': []}
Wie viel Durchschnittliche Haushaltsgrösse  hat  für alle Bezirke  ?,"{'entities': [(57, 66, 'GRAN')]}"
Welches ist das Durchschnittliche Haushaltsgrösse   in Region Unterland ?,{'entities': []}
Was ist der Anteil an Anteil 4-Personenhaushalte   in Dorf ?,{'entities': []}
Wie viel Bauzonen überbaut  hat  in Rümlang  ?,{'entities': []}
Welches ist das Bauzonen überbaut   für alle Bezirke ?,"{'entities': [(44, 53, 'GRAN')]}"
Wie viel Steuerb. Vermögen natürl. Pers. 25%-Quantil  hat  in Hagenbuch  ?,{'entities': []}
Welches ist das Steuerb. Vermögen natürl. Pers. 25%-Quantil   in Region Glattal ?,{'entities': []}
"Wie viel MIV-Wege Quell-, Ziel- und Binnenverkehr  hat  in Hedingen  ?",{'entities': []}
"Welches ist das MIV-Wege Quell-, Ziel- und Binnenverkehr   im Kanton Zürich ?","{'entities': [(61, 69, 'GRAN')]}"
Was ist der Anteil an Anteil GK C   in Hausen a.A. ?,{'entities': []}
"Wie viel Bauinvestitionen  hat  Rüti, Obfelden und Region Pfannenstiel  ?",{'entities': []}
Welches ist das Bauinvestitionen   pro Bezirk ?,"{'entities': [(38, 46, 'GRAN')]}"
"Wie viel Bauinv. Landwirtschaft 5 Jahre  hat  Wallisellen, Pfäffikon und Bassersdorf  ?",{'entities': []}
Welches ist das Bauinv. Landwirtschaft 5 Jahre   Bezirk Uster und Hofstetten (bis 2017) ?,"{'entities': [(48, 56, 'GRAN')]}"
Was ist der Anteil an Anteil natürl. Pers. an allg. Gemeindesteuern   Trüllikon ?,{'entities': []}
Wie viel VZÄ im Primärsektor  hat  in Kappel a.A.  ?,{'entities': []}
Welches ist das VZÄ im Primärsektor   in Region Winterthur u. Umg. ?,{'entities': []}
Was ist der Anteil an Anteil 6+ Zi.-Wohnungen   in Winkel ?,{'entities': []}
Wie viel Motorrad-Neuzulasssungen pro 1000 Einw.  hat  pro Bezirk  ?,"{'entities': [(58, 66, 'GRAN')]}"
Welches ist das Motorrad-Neuzulasssungen pro 1000 Einw.   in Region Oberland ?,{'entities': []}
Was ist der Anteil an Neuzulassungen anderer Antrieb   in Region Knonaueramt ?,{'entities': []}
Was ist der Anteil an Bestand Benzinmotor   in Weiningen ?,{'entities': []}
Was ist der Anteil an Bestand anderer Antrieb   Hedingen und Bäretswil ?,{'entities': []}
Wie viel Nettoaufwand Finanzen und Steuern  hat  Andelfingen und Bezirk Dietikon  ?,"{'entities': [(64, 72, 'GRAN')]}"
Welches ist das Nettoaufwand Finanzen und Steuern   in Adliswil ?,{'entities': []}
Wie viel Steuerertrag Grundsteuern  hat  auf Gemeindeebene  ?,"{'entities': [(44, 59, 'GRAN')]}"
Welches ist das Steuerertrag Grundsteuern   in Bezirk Hinwil ?,"{'entities': [(46, 54, 'GRAN')]}"
Wie viel Steuerertrag Kirchgemeinden  hat  Uetikon a.S.  ?,{'entities': []}
Welches ist das Steuerertrag Kirchgemeinden   Kleinandelfingen ?,{'entities': []}
Wie viel Steuerertrag Politische/Schulgemeinde  hat  in Hüntwangen  ?,{'entities': []}
"Welches ist das Steuerertrag Politische/Schulgemeinde   Bonstetten, Unterstammheim (bis 2018) und Wädenswil (bis 2018) ?",{'entities': []}
Wie viel Wanderungsbilanz  hat  pro Gemeinde  ?,"{'entities': [(36, 45, 'GRAN')]}"
Welches ist das Wanderungsbilanz   pro Gemeinde ?,"{'entities': [(39, 48, 'GRAN')]}"
Wie viel Ø Eigenkapital steuerpfl. jur. Pers.  hat  in Berg a.I.  ?,{'entities': []}
"Welches ist das Ø Eigenkapital steuerpfl. jur. Pers.   Stammheim, Bezirk Hinwil und Zumikon ?","{'entities': [(65, 73, 'GRAN')]}"
Was ist der Anteil an Geb.Vol. Dienstleistungen: Anteil   in Rickenbach ?,{'entities': []}
Was ist der Anteil an Bevölkerung: Anteil 40-64-Jährige   in Hagenbuch ?,{'entities': []}
Was ist der Anteil an Leerwohnungsquote   in Dällikon ?,{'entities': []}
"Wie viel Geburtenrate (5-J.-mittel)  hat  Hüntwangen, Dänikon und Region Winterthur u. Umg.  ?",{'entities': []}
"Welches ist das Geburtenrate (5-J.-mittel)   Bezirk Affoltern, Thalwil und Elgg (bis 2017) ?","{'entities': [(44, 52, 'GRAN')]}"
Wie viel Geburtenüberschuss 5-J.-mittel  hat  auf Bezirksebene  ?,"{'entities': [(49, 63, 'GRAN')]}"
Welches ist das Geburtenüberschuss 5-J.-mittel   in Marthalen ?,{'entities': []}
Wie viel Geburtenrate  hat  pro Gemeinde  ?,"{'entities': [(32, 41, 'GRAN')]}"
Welches ist das Geburtenrate   in Kloten ?,{'entities': []}
Wie viel Wanderungsbilanz  hat  in Trüllikon  ?,{'entities': []}
Welches ist das Wanderungsbilanz   für den gesamten Kanton ?,"{'entities': [(51, 59, 'GRAN')]}"
Wie viel Schafe  hat  Region Oberland  ?,{'entities': []}
Welches ist das Schafe   Bubikon ?,{'entities': []}
Wie viel Motorräder  hat  auf Bezirksebene  ?,"{'entities': [(29, 43, 'GRAN')]}"
Welches ist das Motorräder   in Unterengstringen ?,{'entities': []}
"Wie viel Personenwagen pro 1000 Einwohner  hat  Oetwil a.d.L., Herrliberg und Illnau-Effretikon  ?",{'entities': []}
Welches ist das Personenwagen pro 1000 Einwohner   Turbenthal und Bezirk Dielsdorf ?,"{'entities': [(65, 73, 'GRAN')]}"
Wie viel Schül. Berufsschule  hat  Dürnten und Birmensdorf  ?,{'entities': []}
Welches ist das Schül. Berufsschule   in Unterstammheim (bis 2018) ?,{'entities': []}
Wie viel Schül. Tertiärstufe  hat  in Region Zürich  ?,{'entities': []}
Welches ist das Schül. Tertiärstufe   für alle Gemeinden ?,"{'entities': [(46, 57, 'GRAN')]}"
Wie viel Steuerb. Einkommen natürl. Pers. 75%-Quantil  hat  Region Unterland und Brütten  ?,{'entities': []}
Welches ist das Steuerb. Einkommen natürl. Pers. 75%-Quantil   Boppelsen und Kilchberg ?,{'entities': []}
Wie viel Steuerb. Einkommen natürl. Pers. 25%-Quantil  hat  in Eglisau  ?,{'entities': []}
Welches ist das Steuerb. Einkommen natürl. Pers. 25%-Quantil   in Wädenswil ?,{'entities': []}
Was ist der Anteil an NRW Wähleranteil BDP   für den gesamten Kanton ?,"{'entities': [(61, 69, 'GRAN')]}"
Was ist der Anteil an NRW Wähleranteil FDP   für den gesamten Kanton ?,"{'entities': [(61, 69, 'GRAN')]}"
Was ist der Anteil an NRW Wähleranteil GP   in Egg ?,{'entities': []}
Wie viel Beschäftigte Landwirtschaft  hat  pro Bezirk  ?,"{'entities': [(46, 54, 'GRAN')]}"
Welches ist das Beschäftigte Landwirtschaft   in Greifensee ?,{'entities': []}
Was ist der Anteil an KRW Wähleranteil SD   in Rorbas ?,{'entities': []}
Was ist der Anteil an Anteil 2 Zi.-Wohnungen   für den gesamten Kanton ?,"{'entities': [(63, 71, 'GRAN')]}"
"Wie viel Scheidungen  hat  Dinhard, Region Winterthur u. Umg. und Illnau-Effretikon  ?",{'entities': []}
Welches ist das Scheidungen   in Regensberg ?,{'entities': []}
Was ist der Anteil an Anteil 2-Personenhaushalte   auf Gemeindeebene ?,"{'entities': [(54, 69, 'GRAN')]}"
Wie viel Kehrichtmengen  hat  auf Bezirksebene  ?,"{'entities': [(33, 47, 'GRAN')]}"
Welches ist das Kehrichtmengen   auf Gemeindeebene ?,"{'entities': [(36, 51, 'GRAN')]}"
"Was ist der Anteil an Anteil GK F   Oberembrach, Region Winterthur u. Umg. und Dinhard ?",{'entities': []}
"Wie viel Verkäufe EFH  hat  Dachsen, Dielsdorf und Uster  ?",{'entities': []}
Welches ist das Verkäufe EFH   im Kanton Zürich ?,"{'entities': [(33, 41, 'GRAN')]}"
Wie viel Landwirtschaftsbetriebe  hat  in Dachsen  ?,{'entities': []}
Welches ist das Landwirtschaftsbetriebe   in Bachenbülach ?,{'entities': []}
Wie viel Nettoaufwand Umweltschutz und Raumordnung  hat  in Greifensee  ?,{'entities': []}
Welches ist das Nettoaufwand Umweltschutz und Raumordnung   auf Bezirksebene ?,"{'entities': [(63, 77, 'GRAN')]}"
Was ist der Anteil an Anteil EFH am Wohnungsbestand   auf Gemeindeebene ?,"{'entities': [(57, 72, 'GRAN')]}"
Was ist der Anteil an Anteil GK A   auf Bezirksebene ?,"{'entities': [(39, 53, 'GRAN')]}"
Wie viel Bevölkerung: katholisch  hat  in Boppelsen  ?,{'entities': []}
Welches ist das Bevölkerung: katholisch   in Region Winterthur u. Umg. ?,{'entities': []}
Wie viel Finanzvermögen  hat  für alle Bezirke  ?,"{'entities': [(38, 47, 'GRAN')]}"
"Welches ist das Finanzvermögen   Flaach, Region Weinland und Bezirk Meilen ?","{'entities': [(60, 68, 'GRAN')]}"
Wie viel Katholische Kirchensteuerpflichtige  hat  auf Gemeindeebene  ?,"{'entities': [(54, 69, 'GRAN')]}"
"Welches ist das Katholische Kirchensteuerpflichtige   Laufen-Uhwiesen, Schlieren und Pfungen ?",{'entities': []}
"Wie viel Hotelbetten  hat  Bubikon, Regensdorf und Bäretswil  ?",{'entities': []}
Welches ist das Hotelbetten   Nürensdorf und Winkel ?,{'entities': []}
Wie viel Fremdkapital  hat  Dinhard  ?,{'entities': []}
Welches ist das Fremdkapital   in Waltalingen (bis 2018) ?,{'entities': []}
Wie viel Ø steuerbares Vermögen natürliche Pers.  hat  in Dägerlen  ?,{'entities': []}
Welches ist das Ø steuerbares Vermögen natürliche Pers.   in Regensdorf ?,{'entities': []}
Was ist der Anteil an Neuzulassungen Benzinmotor   in Neerach ?,{'entities': []}
Wie viel Bevölkerung: reformiert  hat  in Turbenthal  ?,{'entities': []}
Welches ist das Bevölkerung: reformiert   für alle Gemeinden ?,"{'entities': [(50, 61, 'GRAN')]}"
"Wie viel Landwirtschaftliche Nutzfläche  hat  Obfelden, Herrliberg und Hinwil  ?",{'entities': []}
Welches ist das Landwirtschaftliche Nutzfläche   auf Bezirksebene ?,"{'entities': [(52, 66, 'GRAN')]}"
Wie viel Wegzüge  hat  für den gesamten Kanton  ?,"{'entities': [(39, 47, 'GRAN')]}"
Welches ist das Wegzüge   Lufingen ?,{'entities': []}
Was ist der Anteil an Bevölkerung: Anteil 0-14-Jährige   Weiningen und Glattfelden ?,{'entities': []}
Was ist der Anteil an Bevölkerung: Anteil 20-39-Jährige   für alle Gemeinden ?,"{'entities': [(66, 77, 'GRAN')]}"
Wie viel Bevölkerung  hat  für alle Gemeinden  ?,"{'entities': [(35, 46, 'GRAN')]}"
Welches ist das Bevölkerung   im Kanton Zürich ?,"{'entities': [(32, 40, 'GRAN')]}"
Wie viel Gemeindebeitrag an ZVV  hat  Bauma  ?,{'entities': []}
Welches ist das Gemeindebeitrag an ZVV   Region Winterthur u. Umg. und Oberweningen ?,{'entities': []}
Wie viel Beschäftigte im Primärsektor  hat  für alle Bezirke  ?,"{'entities': [(52, 61, 'GRAN')]}"
Welches ist das Beschäftigte im Primärsektor   Region Weinland und Oberstammheim (bis 2018) ?,{'entities': []}
"Wie viel Total Beschäftigte  hat  Oberembrach, Adlikon und Dachsen  ?",{'entities': []}
"Welches ist das Total Beschäftigte   Eglisau, Wasterkingen und Volketswil ?",{'entities': []}
Wie viel Nettoaufwand soziale Sicherheit  hat  Bezirk Pfäffikon  ?,"{'entities': [(46, 54, 'GRAN')]}"
Welches ist das Nettoaufwand soziale Sicherheit   auf Bezirksebene ?,"{'entities': [(53, 67, 'GRAN')]}"
"Was ist der Anteil an Selbstfinanzierungsanteil   Hütten (bis 2018), Aesch ZH und Wetzikon ?",{'entities': []}
Wie viel 15-Jahresverbrauch  hat  Zollikon  ?,{'entities': []}
Welches ist das 15-Jahresverbrauch   in Turbenthal ?,{'entities': []}
Wie viel Bauinv. EFH 5 Jahre  hat  auf Bezirksebene  ?,"{'entities': [(38, 52, 'GRAN')]}"
Welches ist das Bauinv. EFH 5 Jahre   für alle Bezirke ?,"{'entities': [(46, 55, 'GRAN')]}"
Wie viel Arbeitsstätten im Primärsektor  hat  in Seegräben  ?,{'entities': []}
Welches ist das Arbeitsstätten im Primärsektor   für alle Gemeinden ?,"{'entities': [(57, 68, 'GRAN')]}"
Wie viel VZÄ im Tertiärsektor  hat  pro Bezirk  ?,"{'entities': [(39, 47, 'GRAN')]}"
Welches ist das VZÄ im Tertiärsektor   für den gesamten Kanton ?,"{'entities': [(55, 63, 'GRAN')]}"
Wie viel Privathaushalte Total  hat  Geroldswil  ?,{'entities': []}
Welches ist das Privathaushalte Total   Maschwanden ?,{'entities': []}
Wie viel Steuerb. Vermögen natürl. Pers. Median  hat  in Hüttikon  ?,{'entities': []}
Welches ist das Steuerb. Vermögen natürl. Pers. Median   pro Gemeinde ?,"{'entities': [(61, 70, 'GRAN')]}"
"Was ist der Anteil an Anteil Waldfläche   Rifferswil, Schlatt und Niederweningen ?",{'entities': []}
Was ist der Anteil an Anteil unproduktive Fläche   in Region Zimmerberg ?,{'entities': []}
"Was ist der Anteil an NRW Wähleranteil SVP   Lindau, Dietikon und Winterthur ?",{'entities': []}
Was ist der Anteil an KRW Wähleranteil GP   Bauma (bis 2014) ?,{'entities': []}
Was ist der Anteil an Geb.Vol. Industrie/Lager: Anteil   im Kanton Zürich ?,"{'entities': [(59, 67, 'GRAN')]}"
Was ist der Anteil an KRW Wähleranteil BDP   in Bezirk Winterthur ?,"{'entities': [(47, 55, 'GRAN')]}"
Wie viel Nettoaufwand Bildung  hat  in Feuerthalen  ?,{'entities': []}
Welches ist das Nettoaufwand Bildung   für alle Gemeinden ?,"{'entities': [(47, 58, 'GRAN')]}"
Wie viel Bevölkerung: Männer  hat  Bäretswil  ?,{'entities': []}
"Welches ist das Bevölkerung: Männer   Neftenbach, Schönenberg (bis 2018) und Wil ?",{'entities': []}
Was ist der Anteil an Anteil 3-Personenhaushalte   auf Bezirksebene ?,"{'entities': [(54, 68, 'GRAN')]}"
Was ist der Anteil an Anteil Vollzeitbeschäftigte Landwirtschaft   für alle Bezirke ?,"{'entities': [(75, 84, 'GRAN')]}"
"Was ist der Anteil an KRW Wähleranteil EDU   Truttikon, Dietikon und Illnau-Effretikon (bis 2015) ?",{'entities': []}
Wie viel Unfälle  hat  Thalheim a.d.Th.  ?,{'entities': []}
Welches ist das Unfälle   Niederweningen und Männedorf ?,{'entities': []}
Was ist der Anteil an Wohnungen: Anteil Eigentumsobjekte   pro Gemeinde ?,"{'entities': [(63, 72, 'GRAN')]}"
Was ist der Anteil an Anteil 3 Zi.-Wohnungen   in Illnau-Effretikon ?,{'entities': []}
"Wie viel Total geschaffene Stellen, Beschäftigte  hat  Niederhasli und Stadel  ?",{'entities': []}
"Welches ist das Total geschaffene Stellen, Beschäftigte   Henggart, Embrach und Oberengstringen ?",{'entities': []}
Was ist der Anteil an Anteil GK B   in Seegräben ?,{'entities': []}
Was ist der Anteil an Anteil GK D   im Kanton Zürich ?,"{'entities': [(38, 46, 'GRAN')]}"
Wie viel Nettoaufwand Volkswirtschaft  hat  in Rheinau  ?,{'entities': []}
Welches ist das Nettoaufwand Volkswirtschaft   in Bauma (bis 2014) ?,{'entities': []}
Wie viel Arbeitsstätten im Sekundärsektor  hat  in Zell  ?,{'entities': []}
Welches ist das Arbeitsstätten im Sekundärsektor   in Bezirk Affoltern ?,"{'entities': [(53, 61, 'GRAN')]}"
Wie viel Steuerb. Einkommen natürl. Pers. Median  hat  pro Bezirk  ?,"{'entities': [(58, 66, 'GRAN')]}"
Welches ist das Steuerb. Einkommen natürl. Pers. Median   für den gesamten Kanton ?,"{'entities': [(74, 82, 'GRAN')]}"
"Was ist der Anteil an Steuerfuss (ohne Kirchen)   Embrach, Adlikon und Oberglatt ?",{'entities': []}
Wie viel PW-Neuzulassungen pro 1000 Einw.  hat  in Wädenswil (bis 2018)  ?,{'entities': []}
Welches ist das PW-Neuzulassungen pro 1000 Einw.   für alle Bezirke ?,"{'entities': [(59, 68, 'GRAN')]}"
Wie viel Steuerkraft ber. (arith. Mittel 3 Jahre)  hat  auf Bezirksebene  ?,"{'entities': [(59, 73, 'GRAN')]}"
